OTU ID	SLCLTFP001	SLCLTFP002	SLCLTFP003	SLCLTFP007	SLCLTFP008	SLCLTFP009	SLCLTFP013	SLCLTFP014	SLCLTFP015	SLCLTFP019	SLCLTFP020	SLCLTFP021	SLCLTFP025	SLCLTFP026	SLCLTFP027	SLCLTFP031	SLCLTFP032	SLCLTFP033	SLCLTFP037	SLCLTFP038	SLCLTFP039	SLCLTFP043	SLCLTFP044	SLCLTFP045	SLCLTFP049	SLCLTFP050	SLCLTFP051	SLCLTFP055	SLCLTFP056	SLCLTFP057	SLCLTFP061	SLCLTFP062	SLCLTFP063	SLCLTFP067	SLCLTFP068	SLCLTFP069	SLCLTFP073	SLCLTFP074	SLCLTFP075	SLCLTFP079	SLCLTFP080	SLCLTFP081	SLCLTFP091	SLCLTFP092	SLCLTFP093	SLCLTFP097	SLCLTFP098	SLCLTFP099	SLCLTFP103	SLCLTFP104	SLCLTFP105	SLCLTFP109	SLCLTFP110	SLCLTFP111	SLCLTFP115	SLCLTFP116	SLCLTFP117	SLCLTFP121	SLCLTFP122	SLCLTFP123	SLCLTFP127	SLCLTFP128	SLCLTFP129	SLCLTFP133	SLCLTFP134	SLCLTFP135	SLCLTFP139	SLCLTFP140	SLCLTFP141	SLCLTFP145	SLCLTFP146	SLCLTFP147	SLCLTFP151	SLCLTFP152	SLCLTFP153	SLCLTFP157	SLCLTFP158	SLCLTFP159	SLCLTFP163	SLCLTFP164	SLCLTFP165	SLCLTFP169	SLCLTFP170	SLCLTFP171	SLCLTFP175	SLCLTFP176	SLCLTFP177	SLCLTFP181	SLCLTFP182	SLCLTFP183	taxonomy
k__Bacteria;p__;c__;o__;f__;g__	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	3	0	3	23	0	
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	258	246	58	1029	292	324	273	339	123	109	245	64	46	22	32	155	207	114	259	110	103	358	254	129	17	21	26	317	139	155	14	26	22	1166	1117	616	135	218	142	1106	1086	416	97	61	36	0	51	45	53	32	45	17	16	0	73	84	91	33	29	28	82	77	70	78	36	36	22	17	17	19	19	25	1266	93	281	411	406	235	381	2656	1351	683	219	131	189	241	81	5689	428	601	
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coriobacteriaceae UCG-002	297	378	116	581	435	565	255	239	274	94	703	65	633	300	251	343	737	517	207	129	148	219	357	209	4	10	6	1061	855	1259	246	288	212	2932	3214	3880	231	307	285	775	427	646	86	56	46	8	48	55	25	36	34	33	33	25	476	561	719	274	196	170	527	768	943	243	210	103	53	54	36	39	42	30	114	16	104	256	199	303	338	2121	1038	526	390	286	154	156	148	1170	753	1123	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales Incertae Sedis;g__	77	110	89	45	76	87	17	42	55	41	73	39	8	38	44	57	87	90	30	54	40	99	150	126	44	40	55	82	121	91	20	74	49	109	99	117	67	114	75	36	58	72	24	64	49	14	72	67	42	72	86	26	51	31	74	74	80	51	57	78	38	64	95	56	58	72	56	44	40	33	35	28	54	0	127	27	28	54	23	58	42	30	39	21	27	30	23	12	30	24	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__	98	129	84	96	74	123	52	71	170	14	45	17	33	69	113	33	43	35	69	179	212	73	227	138	56	86	91	134	137	147	13	45	35	54	52	47	23	23	30	35	38	44	20	28	29	11	39	45	0	28	27	21	15	21	92	102	91	42	56	47	172	198	263	26	32	45	8	8	11	13	11	15	59	18	215	96	74	252	22	52	47	60	75	58	23	40	26	21	70	57	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	13	0	0	12	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus	243	489	326	198	269	429	74	80	279	132	445	138	153	199	305	321	469	419	202	384	461	334	813	560	173	147	203	74	166	233	116	337	378	267	306	327	202	232	293	128	113	336	121	414	358	55	231	454	100	218	207	151	286	145	207	158	250	300	268	272	456	449	718	132	121	198	496	489	518	164	208	232	200	407	536	237	235	763	339	1007	604	173	181	122	125	257	261	147	244	341	
