OTU ID	SLCLTFP001	SLCLTFP002	SLCLTFP003	SLCLTFP007	SLCLTFP008	SLCLTFP009	SLCLTFP013	SLCLTFP014	SLCLTFP015	SLCLTFP019	SLCLTFP020	SLCLTFP021	SLCLTFP025	SLCLTFP026	SLCLTFP027	SLCLTFP031	SLCLTFP032	SLCLTFP033	SLCLTFP037	SLCLTFP038	SLCLTFP039	SLCLTFP043	SLCLTFP044	SLCLTFP045	SLCLTFP049	SLCLTFP050	SLCLTFP051	SLCLTFP055	SLCLTFP056	SLCLTFP057	SLCLTFP061	SLCLTFP062	SLCLTFP063	SLCLTFP067	SLCLTFP068	SLCLTFP069	SLCLTFP073	SLCLTFP074	SLCLTFP075	SLCLTFP079	SLCLTFP080	SLCLTFP081	SLCLTFP091	SLCLTFP092	SLCLTFP093	SLCLTFP097	SLCLTFP098	SLCLTFP099	SLCLTFP103	SLCLTFP104	SLCLTFP105	SLCLTFP109	SLCLTFP110	SLCLTFP111	SLCLTFP115	SLCLTFP116	SLCLTFP117	SLCLTFP121	SLCLTFP122	SLCLTFP123	SLCLTFP127	SLCLTFP128	SLCLTFP129	SLCLTFP133	SLCLTFP134	SLCLTFP135	SLCLTFP139	SLCLTFP140	SLCLTFP141	SLCLTFP145	SLCLTFP146	SLCLTFP147	SLCLTFP151	SLCLTFP152	SLCLTFP153	SLCLTFP157	SLCLTFP158	SLCLTFP159	SLCLTFP163	SLCLTFP164	SLCLTFP165	SLCLTFP169	SLCLTFP170	SLCLTFP171	SLCLTFP175	SLCLTFP176	SLCLTFP177	SLCLTFP181	SLCLTFP182	SLCLTFP183	taxonomy
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Parvibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	9	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__	0	0	0	0	0	7	3	0	0	0	4	0	0	0	0	0	0	15	2	0	7	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	18	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	2672	4116	1526	1645	839	1288	4267	6447	4130	7811	1278	10852	2063	2842	2100	1706	1214	1600	3240	4469	3279	2451	1449	1658	2264	2860	2848	2725	1870	1019	5094	4329	4895	2068	1627	1101	2027	2977	2032	2528	3069	2285	3337	3246	1484	924	2535	1763	4442	1974	2394	3183	1134	612	1754	1946	1355	1575	1902	1496	1954	2226	2023	1552	1511	1682	1984	1672	976	2145	1590	966	794	713	729	1221	926	1580	2263	77	741	1052	916	1301	4053	2273	2167	2157	2221	3841	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter	80	186	266	64	42	130	90	109	439	40	172	115	89	238	381	111	168	153	37	262	226	249	393	306	108	138	153	556	858	498	120	698	862	1172	886	2278	1138	1450	1542	508	821	2452	65	384	139	1270	4332	9925	1647	2527	4424	4539	3662	2460	783	1052	674	957	1195	620	1037	440	303	230	214	436	867	1256	1161	765	646	644	25	637	91	54	60	272	141	3	55	41	101	94	70	89	125	44	90	171	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__	103937	99370	52131	107180	61194	71136	63445	77688	58426	67779	63064	44404	79106	46116	38394	56177	54368	46312	80544	51867	38937	104068	66777	55299	35621	36810	30965	79440	53057	46413	56385	45409	39803	114357	112896	80246	85096	85549	64071	103117	95927	82630	74724	80822	47799	22369	65235	60100	85904	75832	72888	100013	48088	22922	50845	55563	54331	52297	38743	43685	106097	89862	103518	41874	41461	37438	51591	35281	22913	69514	46786	23816	88166	41575	59642	84307	48303	38732	72924	59954	98656	54870	31768	39134	62721	40898	36181	82553	72204	89925	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum	6465	6092	2580	9066	5266	5293	5590	8866	6656	9944	5815	8326	5168	5080	4217	6516	5943	4347	7654	7840	5529	10507	4408	4400	2756	3569	3564	9269	8223	5867	3260	4254	2846	13402	12652	7332	4566	5227	4227	7084	8098	5499	3147	4880	2401	2041	6292	4284	7989	6245	6799	5021	2638	1530	5696	5974	5160	3899	4039	4402	3984	5570	3460	2636	3615	3770	1124	791	451	1059	762	421	7652	1398	5259	5162	3859	3753	5597	4251	7371	3555	3048	4466	4852	4248	3487	5123	5508	5830	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_9	18	21	20	17	11	0	11	16	0	20	25	20	0	0	0	13	20	0	14	20	0	20	25	15	19	0	0	15	0	17	11	0	15	29	26	15	22	0	15	16	15	16	14	14	0	0	0	14	17	21	0	18	18	0	24	17	13	27	15	20	14	25	20	18	13	0	15	9	6	0	0	13	16	20	0	0	17	0	0	0	21	6	12	0	22	26	0	17	13	26	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae NK3B31 group	0	0	0	0	0	0	7	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae UCG-001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	1280	5199	5615	1453	1755	2600	975	1442	4721	663	3700	2538	740	1302	2169	3679	4018	7134	1399	5081	5325	1565	2810	2125	3777	4070	5334	1297	1729	1434	1923	8280	10061	1619	1478	1692	3240	2966	3018	968	1549	4328	1042	3233	2651	1559	5433	6608	2233	2787	4022	5617	5798	3252	2315	2365	2044	7962	9720	7931	6201	7445	7153	6024	5392	9921	10231	11627	9923	7089	8557	6792	440	1949	1453	1266	1510	4238	2883	42	968	1057	1826	1647	2057	3308	3890	636	1603	843	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella	684	1292	785	473	914	1115	686	831	2601	357	1453	666	191	604	938	1050	1208	1103	481	1527	1692	113	546	225	662	645	794	493	835	628	131	533	630	7	8	0	0	0	0	0	0	0	172	450	354	145	588	628	252	416	518	995	1247	763	692	735	586	399	464	371	241	242	167	262	207	492	0	2	0	0	0	0	94	41	199	282	635	1925	208	9	145	374	813	840	347	421	387	239	803	772	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae RC9 gut group	692	2048	1065	487	294	307	496	801	853	1009	355	841	1137	1027	680	280	292	304	933	1593	1193	1329	943	762	2749	4390	3231	781	1028	394	595	1003	942	551	623	411	566	623	419	498	658	772	133	236	79	89	327	226	184	174	169	120	118	54	1883	3844	929	573	518	239	1955	2130	1221	527	720	787	439	406	230	956	945	477	308	333	233	334	182	236	493	17	231	337	257	303	543	576	620	307	409	458	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	356	884	594	174	169	255	342	512	604	2493	357	4819	518	801	691	368	253	454	2083	3522	2467	918	812	802	11714	15701	17485	2047	2143	1623	449	581	667	1095	1123	888	745	772	574	966	1141	1341	292	268	268	96	365	336	455	327	447	332	184	125	1868	2405	1898	185	210	202	1895	1933	1244	297	303	375	636	511	290	978	760	513	701	163	528	993	514	304	964	58	491	1151	1116	1650	1225	1117	1332	954	1545	1554	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium	0	0	0	4	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	171	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Gastranaerophilales;f__;g__	70	548	443	226	251	280	199	472	418	24	372	145	789	1079	1133	298	491	383	5	45	47	15	111	12	294	320	312	385	382	168	31	97	89	272	294	121	498	470	286	690	1079	1347	31	125	55	53	130	105	274	340	1174	416	273	235	94	453	175	263	233	175	1210	655	195	596	524	974	988	640	448	2482	687	531	4	216	13	10	9	17	616	18	207	884	1175	2291	823	479	622	2174	1618	1362	
k__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Deinococcota;c__Deinococci;o__Thermales;f__Thermaceae;g__Meiothermus	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	84	274	694	38	178	288	64	45	776	25	257	255	19	100	230	165	205	236	115	274	588	78	1020	489	450	482	625	85	395	320	33	216	275	339	532	525	420	432	363	35	134	491	51	451	606	132	270	363	24	114	235	61	302	204	235	315	335	321	432	271	287	161	69	14	12	83	0	0	0	0	0	0	21	74	340	14	82	367	231	62	431	184	758	285	131	525	624	51	262	322	
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	713	2052	9381	634	5069	9043	343	316	2922	187	5512	839	295	1153	5365	4161	6202	6899	544	2766	7479	819	10324	8533	1636	1168	2213	1248	9067	9479	361	4334	6306	2961	4094	5699	2101	2500	3820	169	430	3734	429	2494	6177	815	2813	5501	360	3318	5363	426	3247	2514	5422	2745	4345	5815	7563	8723	6629	2622	6579	351	607	3248	2226	3292	3011	526	2047	4370	263	5746	3908	508	805	7480	1883	6604	4487	758	3989	2888	310	1835	2301	264	3031	4266	
k__Bacteria;p__Firmicutes;c__;o__;f__;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__Anaeroplasma	58	290	107	88	98	102	168	265	329	0	21	8	62	269	305	0	0	0	21	333	358	80	353	36	1051	868	624	1580	6727	1716	17	224	142	278	393	183	148	168	52	63	127	219	6	107	53	22	157	168	26	81	137	64	103	69	1782	4396	501	18	22	4	216	78	47	8	11	26	46	98	62	7	14	14	10	186	33	11	23	147	0	0	0	0	10	3	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	34	48	36	53	29	55	27	29	39	28	34	24	20	30	45	34	46	40	28	42	43	45	60	46	27	38	40	61	45	46	20	45	38	58	60	59	45	54	44	34	55	55	26	41	25	0	32	31	28	43	54	31	56	25	59	51	63	50	48	68	39	44	40	50	44	42	41	53	60	50	23	51	40	41	54	33	37	50	37	50	48	70	52	43	52	43	55	47	48	32	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__	29	43	52	14	27	37	43	51	162	12	18	22	45	49	88	39	27	51	54	73	103	18	36	30	28	19	50	7	24	19	14	23	44	52	22	33	14	38	38	34	12	37	15	14	12	10	37	45	15	11	52	37	30	30	54	21	68	0	16	21	48	25	46	9	2	15	28	31	21	49	34	30	106	7	186	171	101	319	36	8	8	135	113	77	31	10	25	50	91	21	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium	139	167	133	176	142	218	1635	1151	1905	396	57	384	217	257	228	94	75	64	540	1103	875	325	188	270	1536	2018	2314	310	256	178	164	318	334	65	76	42	34	30	27	32	33	41	59	34	39	10	55	48	54	38	70	26	16	35	248	414	498	48	34	53	1144	2475	2945	185	186	165	33	73	39	245	245	173	712	16	1255	772	415	1236	56	13	26	589	378	491	30	29	21	290	633	86	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae UCG-003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__	314	394	329	201	234	375	454	374	765	100	312	211	169	261	411	321	360	308	165	407	417	202	251	303	135	132	187	150	157	162	124	271	298	325	191	206	112	173	191	153	205	241	64	76	73	39	180	188	93	118	194	174	226	114	90	159	273	144	188	182	421	520	661	301	210	277	192	216	166	517	410	290	142	26	524	147	103	422	105	15	39	219	223	230	73	54	79	214	342	121	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum	356	681	149	1041	688	746	762	744	438	128	578	88	5605	7404	5114	467	615	240	368	404	257	784	576	452	1912	3595	2872	15067	9279	4700	356	1149	623	2711	2174	892	122	159	110	449	394	200	54	66	46	17	37	32	55	84	68	57	54	35	1251	2025	1941	811	734	778	3709	8824	7519	1092	811	464	59	63	48	62	44	60	587	35370	315	671	333	495	469	1649	906	192	132	90	86	71	116	1570	740	966	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter	8625	9314	3610	29401	15694	29059	14167	19806	22503	1384	2313	1603	2592	4796	3142	1899	1984	3171	8879	10193	9657	39155	13696	20822	224	224	245	46525	26132	22692	10401	14159	14259	30710	34078	24682	7975	18298	17570	18218	19696	12083	1012	1021	673	156	908	711	286	275	375	1125	573	497	4683	8257	9901	25243	26606	42813	929	1364	1204	10031	11663	12707	391	332	295	164	190	223	43272	6222	39225	29101	13366	28260	3285	1238	5122	29649	7137	14665	25597	14536	15402	20349	24767	11559	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	0	0	0	17	0	14	68	122	52	19	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	12	12	11	0	0	0	0	27	14	0	0	0	0	0	0	0	23	17	9	0	0	40	21	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	13	36	26	7	17	0	0	6	0	0	36	14	0	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__	112	146	0	442	204	351	352	484	298	0	0	0	0	0	0	0	0	0	449	514	457	884	707	828	40	0	63	902	604	402	0	0	0	1445	1061	657	74	243	179	440	611	288	1074	1442	530	130	733	554	513	434	449	956	557	408	733	779	678	0	0	0	153	0	0	0	0	0	969	1032	566	694	656	336	761	0	721	437	689	929	351	1034	1143	1048	360	678	1274	1149	651	876	977	277	
