	pielou_evenness
SLCLTFP001	0.627495182638938
SLCLTFP002	0.6926663462799477
SLCLTFP003	0.7133124022714248
SLCLTFP007	0.6245421693469118
SLCLTFP008	0.6976696774526335
SLCLTFP009	0.6984741430929653
SLCLTFP013	0.6655915618363568
SLCLTFP014	0.6533789422112121
SLCLTFP015	0.7255827428900281
SLCLTFP019	0.6476020004868994
SLCLTFP020	0.7067835576404141
SLCLTFP021	0.7332555287725834
SLCLTFP025	0.6294959145555844
SLCLTFP026	0.7011499258730053
SLCLTFP027	0.7243236960120217
SLCLTFP031	0.6582551982335347
SLCLTFP032	0.6440809459490476
SLCLTFP033	0.7078663896904751
SLCLTFP037	0.6204160274914481
SLCLTFP038	0.7068588710314699
SLCLTFP039	0.7154705015408808
SLCLTFP043	0.5966501592636356
SLCLTFP044	0.7470217239150703
SLCLTFP045	0.6765222398520014
SLCLTFP049	0.7240012887732622
SLCLTFP050	0.694042859691542
SLCLTFP051	0.730665762094567
SLCLTFP055	0.6312074715584731
SLCLTFP056	0.6987283417907484
SLCLTFP057	0.7004086944298198
SLCLTFP061	0.6091986846899696
SLCLTFP062	0.6645839774335673
SLCLTFP063	0.7381933516670961
SLCLTFP067	0.6987698227164781
SLCLTFP068	0.7025410408206061
SLCLTFP069	0.7302919607088748
SLCLTFP073	0.7471252735884248
SLCLTFP074	0.6894137530628227
SLCLTFP075	0.7243792571033512
SLCLTFP079	0.6019528719986167
SLCLTFP080	0.6544500993062206
SLCLTFP081	0.7502726467251312
SLCLTFP091	0.5648006174061219
SLCLTFP092	0.6697138521647406
SLCLTFP093	0.719703593811096
SLCLTFP097	0.6983181186770406
SLCLTFP098	0.6313061237379912
SLCLTFP099	0.6778274735189113
SLCLTFP103	0.49682486904520384
SLCLTFP104	0.6109761241263615
SLCLTFP105	0.6815495530584773
SLCLTFP109	0.6704097736846704
SLCLTFP110	0.7628624207291435
SLCLTFP111	0.7972310078887546
SLCLTFP115	0.7430959499689767
SLCLTFP116	0.7605959932002292
SLCLTFP117	0.7601125198805507
SLCLTFP121	0.714531946694804
SLCLTFP122	0.7221019838422394
SLCLTFP123	0.6679736141364904
SLCLTFP127	0.6712573795180534
SLCLTFP128	0.6272439317205684
SLCLTFP129	0.6257499767103273
SLCLTFP133	0.49955332553528975
SLCLTFP134	0.5718356554296413
SLCLTFP135	0.7067940052169406
SLCLTFP139	0.7565946389042779
SLCLTFP140	0.7745187015084188
SLCLTFP141	0.8073947933679856
SLCLTFP145	0.7023064839578615
SLCLTFP146	0.7510440392607082
SLCLTFP147	0.8035818530980886
SLCLTFP151	0.5531040391558284
SLCLTFP152	0.6393441725818322
SLCLTFP153	0.6487043557680836
SLCLTFP157	0.5627199277322208
SLCLTFP158	0.6085174327167244
SLCLTFP159	0.6426615802218048
SLCLTFP163	0.6646469749127081
SLCLTFP164	0.4951629646215304
SLCLTFP165	0.6626256406887892
SLCLTFP169	0.6499289830143041
SLCLTFP170	0.7052635999477458
SLCLTFP171	0.7352421879349228
SLCLTFP175	0.6980187857609544
SLCLTFP176	0.7551009228477165
SLCLTFP177	0.78473218849995
SLCLTFP181	0.6754357497347357
SLCLTFP182	0.7021368924300893
SLCLTFP183	0.7309435472119259
