	observed_features
SLCFP145	294
SLCFP146	372
SLCFP147	348
SLCFP151	206
SLCFP152	285
SLCFP153	312
SLCFP157	278
SLCFP158	358
SLCFP159	353
SLCFP163	288
SLCFP164	296
SLCFP165	293
SLCFP169	200
SLCFP170	281
SLCFP171	298
SLCFP175	208
SLCFP176	298
SLCFP177	320
SLCFP001	249
SLCFP002	242
SLCFP003	273
SLCFP007	214
SLCFP008	248
SLCFP009	224
SLCFP013	204
SLCFP014	275
SLCFP015	299
SLCFP019a	220
SLCFP020	240
SLCFP021	221
SLCFP025	186
SLCFP026	188
SLCFP027	232
SLCFP031	154
SLCFP032	162
SLCFP033	235
SLCFP037	230
SLCFP038	210
SLCFP039	213
SLCFP043	189
SLCFP044	198
SLCFP045	226
SLCFP049	202
SLCFP050	222
SLCFP051	259
SLCFP055	185
SLCFP056	220
SLCFP057	207
SLCFP061	186
SLCFP062	203
SLCFP063	224
SLCFP067	159
SLCFP068	168
SLCFP069	179
SLCFP073	188
SLCFP074	205
SLCFP075	187
SLCFP079	115
SLCFP080	200
SLCFP081	214
SLCFP085	195
SLCFP086	210
SLCFP087	176
SLCFP091	198
SLCFP092	234
SLCFP093	208
SLCFP097	191
SLCFP098	208
SLCFP099	162
SLCFP103	208
SLCFP104	175
SLCFP105	208
SLCFP109	231
SLCFP110	201
SLCFP111	228
SLCFP115	162
SLCFP116	184
SLCFP121	210
SLCFP122	154
SLCFP123	188
SLCFP127	155
SLCFP128	218
SLCFP129	181
SLCFP133	149
SLCFP134	228
SLCFP135	196
SLCFP139	174
SLCFP140	209
SLCFP141	211
