	pielou_evenness
SLCFP145	0.6106676946514251
SLCFP146	0.7067464404035146
SLCFP147	0.7441639965310817
SLCFP151	0.5764558427957361
SLCFP152	0.6339593743666685
SLCFP153	0.6726123986736544
SLCFP157	0.6006626420698571
SLCFP158	0.6676481595432934
SLCFP159	0.7251494979216202
SLCFP163	0.6606142607259015
SLCFP164	0.653498015797392
SLCFP165	0.6857135663503514
SLCFP169	0.5109520757952114
SLCFP170	0.6050109311075127
SLCFP171	0.5899841722770269
SLCFP175	0.4913043024503238
SLCFP176	0.5712420057577222
SLCFP177	0.6456150389602381
SLCFP001	0.7111349612058727
SLCFP002	0.7394430403419939
SLCFP003	0.737506195110168
SLCFP007	0.6126324436665415
SLCFP008	0.7030004262020136
SLCFP009	0.7056356424722374
SLCFP013	0.6793983871297096
SLCFP014	0.7629425093678533
SLCFP015	0.7306239471725148
SLCFP019a	0.608085396399493
SLCFP020	0.6322383604897385
SLCFP021	0.6395669363764237
SLCFP025	0.6600396269657194
SLCFP026	0.7200365865943797
SLCFP027	0.7615167225579664
SLCFP031	0.561855070199614
SLCFP032	0.60597681930802
SLCFP033	0.6922256161620646
SLCFP037	0.7177976750787082
SLCFP038	0.7069431617753388
SLCFP039	0.6942132426288026
SLCFP043	0.573920501036307
SLCFP044	0.7068969017344173
SLCFP045	0.6419689148519429
SLCFP049	0.541348255173086
SLCFP050	0.6323901109279335
SLCFP051	0.7732021172528971
SLCFP055	0.6471787246783779
SLCFP056	0.6598991579327762
SLCFP057	0.722940221576278
SLCFP061	0.6341281531949513
SLCFP062	0.6097135076250988
SLCFP063	0.7054938241772857
SLCFP067	0.6526810271297336
SLCFP068	0.6424930790141283
SLCFP069	0.7301108490234441
SLCFP073	0.4817782950675938
SLCFP074	0.5758222381014
SLCFP075	0.6518072410961468
SLCFP079	0.5309496187279752
SLCFP080	0.6846598494703041
SLCFP081	0.6951442582852788
SLCFP085	0.6262329232403459
SLCFP086	0.6221363505335008
SLCFP087	0.7485530785621201
SLCFP091	0.6722810003098125
SLCFP092	0.6295246417214564
SLCFP093	0.6914741708250677
SLCFP097	0.5705144495937792
SLCFP098	0.6524407310662831
SLCFP099	0.5576362648782269
SLCFP103	0.6021997429792071
SLCFP104	0.6111546802524179
SLCFP105	0.5580299833466811
SLCFP109	0.689556343472498
SLCFP110	0.7814867994381001
SLCFP111	0.7781437783049621
SLCFP115	0.6204684796146817
SLCFP116	0.7477976148022532
SLCFP121	0.6871522753305531
SLCFP122	0.6700951297880836
SLCFP123	0.6901476951545756
SLCFP127	0.5185484348055778
SLCFP128	0.5935576096255152
SLCFP129	0.6708619787810852
SLCFP133	0.6233046821888518
SLCFP134	0.6818654089468212
SLCFP135	0.7605141889705379
SLCFP139	0.6814731220166738
SLCFP140	0.7408183175177743
SLCFP141	0.7298064813372419
