	chao1
SLCDTT145	450.0
SLCDTT146	296.77272727272725
SLCDTT147	372.3658536585366
SLCDTT151	343.27272727272725
SLCDTT152	354.6764705882353
SLCDTT153	350.6774193548387
SLCDTT157	529.7868852459017
SLCDTT158	388.71794871794873
SLCDTT159	383.06666666666666
SLCDTT163	469.97727272727275
SLCDTT164	352.7567567567568
SLCDTT165	341.09090909090907
SLCDTT169	368.2564102564103
SLCDTT170	358.875
SLCDTT171	327.6
SLCDTT175	449.0
SLCDTT176	346.05263157894734
SLCDTT177	368.79411764705884
SLCdtt001	148.75
SLCdtt002	294.6363636363636
SLCdtt003	272.60714285714283
SLCdtt007	245.1764705882353
SLCdtt008	315.5
SLCdtt009	263.0
SLCdtt013	296.6666666666667
SLCdtt014	200.07142857142858
SLCdtt015	423.6595744680851
SLCdtt019	173.33333333333334
SLCdtt020	240.5
SLCdtt021	189.42857142857142
SLCdtt025	262.0
SLCdtt026	274.0
SLCdtt027	289.88461538461536
SLCdtt031	232.0
SLCdtt032	248.10714285714286
SLCdtt033	209.2
SLCdtt037	317.6666666666667
SLCdtt038	271.7916666666667
SLCdtt039	265.43333333333334
SLCdtt044	257.55555555555554
SLCdtt045	162.0
SLCdtt050	274.46153846153845
SLCdtt051	253.8
SLCdtt055	143.5625
SLCdtt056	206.27272727272728
SLCdtt057	230.58333333333334
SLCdtt062	336.0
SLCdtt063	256.3333333333333
SLCdtt067	237.5
SLCdtt068	207.25
SLCdtt069	305.7692307692308
SLCdtt074	322.53846153846155
SLCdtt075	212.9090909090909
SLCdtt079	247.68965517241378
SLCdtt080	236.6
SLCdtt081	216.0
SLCdtt087	242.1304347826087
SLCdtt091	163.0
SLCdtt092	213.4
SLCdtt093	277.62068965517244
SLCdtt097	299.0
SLCdtt098	207.0
SLCdtt099	196.54545454545453
SLCdtt103	239.3913043478261
SLCdtt105	181.16666666666666
SLCdtt109	240.6153846153846
SLCdtt110	242.23076923076923
SLCdtt111	227.11111111111111
SLCdtt115	164.4
SLCdtt116	143.25
SLCdtt117	192.9090909090909
SLCdtt121	225.11111111111111
SLCdtt122	168.0
SLCdtt123	198.83333333333334
SLCdtt128	272.5
SLCdtt129	200.04761904761904
SLCdtt133	205.83333333333334
SLCdtt134	258.5833333333333
SLCdtt135	216.8
SLCdtt139	166.1764705882353
SLCdtt140	179.33333333333334
SLCdtt141	216.5
