,Iron,Cobalt,Copper,Zinc,Cadmium,Manganese,Batch,MouseID,SampleType,Genotype,Sex
J6 MUC-COL,363.714,n/a,50.78,238.55,n/a,11.731,Three,J6,MUC-COL,WT,Female
J7 MUC-COL,405.794,0.1,51.082,279.747,n/a,14.087,Three,J7,MUC-COL,WT,Female
J9 MUC-COL,467.587,0.06,45.848,416.976,n/a,13.603,Three,J9,MUC-COL,WT,Female
K1 MUC-COL,460.477,0.113,62.996,358.09,0,21.105,Three,K1,MUC-COL,MUT,Female
K10 MUC-COL,173.05,0.05,132.43,188.198,n/a,7.542,Three,K10,MUC-COL,MUT,Female
K11 MUC-COL,238.078,0.115,30.062,171.529,n/a,6.755,Three,K11,MUC-COL,MUT,Female
K2 MUC-COL,1154.691,0.485,128.115,911.774,n/a,79.55,Three,K2,MUC-COL,MUT,Female
K3 MUC-COL,905.152,0.211,111.577,1005.381,n/a,49.218,Three,K3,MUC-COL,MUT,Female
K5 MUC-COL,768.885,0.532,86.603,437.645,n/a,50.252,Three,K5,MUC-COL,MUT,Female
K6 MUC-COL,229.151,0.091,207.626,1024.361,n/a,9.51,Three,K6,MUC-COL,MUT,Female
K7 MUC-COL,265.039,0.246,205.553,1109.635,n/a,11.358,Three,K7,MUC-COL,MUT,Female
K8 MUC-COL,250.946,0.131,184.172,970.802,n/a,12.902,Three,K8,MUC-COL,MUT,Female
K9 MUC-COL,221.828,0,96.233,221.998,n/a,7.847,Three,K9,MUC-COL,MUT,Female
Y10_MUC-COL,274.965,n/a,3908.29,12222.222,0.264,13.513,One,Y10,MUC-COL,MUT,Male
Y11_MUC-COL,117.73,0.414,16.19,76.451,n/a,14.599,One,Y11,MUC-COL,MUT,Male
Y12_MUC-COL,n/a,0,15.505,143.565,n/a,3.592,One,Y12,MUC-COL,MUT,Male
Y13_MUC-COL,326.472,1.615,26.702,120.817,n/a,19.505,One,Y13,MUC-COL,MUT,Male
Y14_MUC-COL,54.396,0.131,8.203,63.053,n/a,2.354,One,Y14,MUC-COL,MUT,Male
Y4 MUC-COL,350.045,0.569,31.456,234.049,n/a,24.175,Three,Y4,MUC-COL,MUT,Male
Y5_MUC-COL,0,n/a,59.625,293.147,n/a,1.28,One,Y5,MUC-COL,MUT,Male
Y6_MUC-COL,115.084,0.585,65.872,159.544,n/a,10.078,One,Y6,MUC-COL,MUT,Male
Y8_MUC-COL,36.15,n/a,102.041,235.986,n/a,2.854,One,Y8,MUC-COL,MUT,Male
Y9 MUC-COL,293.194,0.333,91.677,173.862,n/a,5.855,Three,Y9,MUC-COL,MUT,Male
G10_TS-COL,105.239,0.186,17.289,149.005,0.009,14.017,One,G10,TS-COL,WT,Male
G11_TS-COL,132.643,0.138,18.488,165.678,n/a,10.814,One,G11,TS-COL,WT,Male
G12_TS-COL,148.637,0.184,17.267,155.45,0.011,14.575,One,G12,TS-COL,WT,Male
G13_TS-COL,117.223,0.136,14.441,129.188,0.007,9.77,One,G13,TS-COL,WT,Male
G15_TS-COL,157.818,0.141,16.641,145.004,n/a,12.651,One,G15,TS-COL,WT,Male
G16_TS-COL,131.629,0.104,12.487,128.249,n/a,12.158,One,G16,TS-COL,WT,Male
G17_TS-COL,81.424,0.104,11.916,104.12,0.009,10.145,One,G17,TS-COL,WT,Male
G6_TS-COL,102.29,0.108,14.964,130.552,0.008,9.494,One,G6,TS-COL,WT,Male
G7_TS-COL,104.731,0.145,16.395,169.767,n/a,10.26,One,G7,TS-COL,WT,Male
G8_TS-COL,95.28,0.112,14.911,138.632,n/a,9.133,One,G8,TS-COL,WT,Male
J1 TS-COL,135.359,0.107,11.717,143.874,0.007,12.632,Three,J1,TS-COL,WT,Female
J10 TS-COL,109.941,0.072,13.242,152.317,0.008,9.81,Three,J10,TS-COL,WT,Female
J11 TS-COL,136.577,0.101,12.217,150.481,0.008,11.396,Three,J11,TS-COL,WT,Female
J12 TS-COL,190.379,0.109,16.942,205.397,0.008,15.796,Three,J12,TS-COL,WT,Female
J13 TS-COL,139.49,0.081,11.537,149.22,0.008,12.271,Three,J13,TS-COL,WT,Female
J14 TS-COL,86.684,0.052,7.811,94.483,0.005,7.052,Three,J14,TS-COL,WT,Female
J2 TS-COL,129.44,0.153,24.003,196.339,0.02,18.191,Three,J2,TS-COL,WT,Female
J6 TS-COL,191.469,0.159,16.845,202.066,0.014,19.308,Three,J6,TS-COL,WT,Female
J7 TS-COL,124.431,0.125,11.334,148.145,0.011,13.3,Three,J7,TS-COL,WT,Female
J9 TS-COL,146.771,0.147,13.315,163.942,0.019,16.059,Three,J9,TS-COL,WT,Female
K1 TS-COL,183.719,0.169,17.69,203.535,0.016,20.27,Three,K1,TS-COL,MUT,Female
K10 TS-COL,162.646,0.16,14.288,172.239,0.01,16.848,Three,K10,TS-COL,MUT,Female
K11 TS-COL,160.144,0.16,17.296,202.358,0.014,18.053,Three,K11,TS-COL,MUT,Female
K2 TS-COL,149.536,0.13,23.773,201.188,0.014,17.093,Three,K2,TS-COL,MUT,Female
K3 TS-COL,145.663,0.138,17.024,188.895,0.011,14.291,Three,K3,TS-COL,MUT,Female
K5 TS-COL,932.399,0.296,15.948,207.184,0.067,27.964,Three,K5,TS-COL,MUT,Female
K6 TS-COL,178.783,0.112,14.453,193.82,0.04,14.286,Three,K6,TS-COL,MUT,Female
K7 TS-COL,135.344,0.114,12.158,160.071,0.043,14.097,Three,K7,TS-COL,MUT,Female
K8 TS-COL,154.084,0.125,14.865,188.777,0.044,15.132,Three,K8,TS-COL,MUT,Female
K9 TS-COL,78.639,0.048,7.589,97.627,0.022,6.37,Three,K9,TS-COL,MUT,Female
Y10_TS-COL,141.885,0.216,20.248,169.287,0.012,12.396,One,Y10,TS-COL,MUT,Male
Y11_TS-COL,196.998,0.367,21.784,192.539,0.024,25.904,One,Y11,TS-COL,MUT,Male
Y12_TS-COL,103.275,0.187,18.084,136.114,0.01,12.914,One,Y12,TS-COL,MUT,Male
Y13_TS-COL,151.471,0.309,17.075,141.938,0.016,24.079,One,Y13,TS-COL,MUT,Male
Y14_TS-COL,153.168,0.309,20.201,167.471,0.018,24.303,One,Y14,TS-COL,MUT,Male
Y5_TS-COL,109.451,0.106,15.679,131.771,n/a,10.885,One,Y5,TS-COL,MUT,Male
Y6_TS-COL,92.209,0.121,13.35,111.245,n/a,12.264,One,Y6,TS-COL,MUT,Male
Y7_TS-COL,105.342,0.092,11.934,106.041,n/a,8.95,One,Y7,TS-COL,MUT,Male
Y8_TS-COL,134.303,0.109,14.03,141.165,n/a,10.32,One,Y8,TS-COL,MUT,Male
Y9_TS-COL,145.041,0.164,19.884,169.096,0.012,12.299,One,Y9,TS-COL,MUT,Male
G10_Blood,3725.813,0.021,2.629,23.72,0,0.061,Four,G10,Blood,WT,Male
