"","...1","Iron","Cobalt","Copper","Zinc","Cadmium","Manganese","MouseID","SampleType","Genotype","Sex"
"34","Y12_FP-COL","786.985","2.427",39.561,293.344,"0.201",133.153,"Y12","FP-COL","MUT","Male"
"35","Y13_FP-COL","650.053","2.047",42.279,299.37,"0.2",116.76,"Y13","FP-COL","MUT","Male"
"36","Y14_FP-COL","531.313","1.676",29.981,240.533,"0.176",134.95,"Y14","FP-COL","MUT","Male"
"37","Y5_FP-COL","539.601","2.051",24.62,241.041,"0.234",92.701,"Y5","FP-COL","MUT","Male"
"38","Y6_FP-COL","503.535","1.844",26.94,225.154,"0.173",108.119,"Y6","FP-COL","MUT","Male"
"39","Y7_FP-COL","527.889","1.365",25.531,239.736,"0.19",87.784,"Y7","FP-COL","MUT","Male"
"40","Y8_FP-COL","578.06","1.76",30.223,250.711,"0.211",102.332,"Y8","FP-COL","MUT","Male"
"41","Y9_FP-COL","546.23","1.646",22.159,254.93,"0.193",71.952,"Y9","FP-COL","MUT","Male"
"42","G10_MUC-COL","118.764","n/a",36.913,125.251,"n/a",6.981,"G10","MUC-COL","WT","Male"
"43","G11_MUC-COL","162.875","n/a",32.078,87.918,"n/a",3.355,"G11","MUC-COL","WT","Male"
"44","G12_MUC-COL","221.672","0.411",29.648,133.705,"n/a",5.262,"G12","MUC-COL","WT","Male"
"45","G13_MUC-COL","386.06","n/a",149.587,990.004,"n/a",6.15,"G13","MUC-COL","WT","Male"
"46","G14 MUC-COL","94.098","0.161",13.665,50.695,"0",4.951,"G14","MUC-COL","WT","Male"
"47","G15_MUC-COL","69.661","n/a",14.475,81.896,"n/a",2.87,"G15","MUC-COL","WT","Male"
"48","G16_MUC-COL","0","n/a",1.467,23.627,"n/a",0.975,"G16","MUC-COL","WT","Male"
"49","G17_MUC-COL","82.35","n/a",16.846,81.641,"n/a",3.44,"G17","MUC-COL","WT","Male"
"50","G6_MUC-COL","91.187","n/a",75.062,315.545,"n/a",3.448,"G6","MUC-COL","WT","Male"
"51","G7_MUC-COL","0","0",0,32.046,"n/a",0,"G7","MUC-COL","WT","Male"
"52","G8_MUC-COL","303.689","n/a",35.859,75.2,"n/a",13.924,"G8","MUC-COL","WT","Male"
"53","G9 MUC-COL","225.964","0",80.402,161.21,"0",2.937,"G9","MUC-COL","WT","Male"
"54","J1 MUC-COL","51.708","0.016",7.538,53.576,"n/a",2.061,"J1","MUC-COL","WT","Female"
"55","J10 MUC-COL","1063.058","0",54.049,541.877,"n/a",12.506,"J10","MUC-COL","WT","Female"
"56","J11 MUC-COL","228.422","n/a",216.715,295.903,"0",8.761,"J11","MUC-COL","WT","Female"
"57","J12 MUC-COL","155.636","0",174.394,317.262,"0",10.386,"J12","MUC-COL","WT","Female"
"58","J13 MUC-COL","183.112","0",161.105,318.621,"n/a",10.644,"J13","MUC-COL","WT","Female"
"59","J14 MUC-COL","135.054","0",76.915,179.281,"n/a",5.92,"J14","MUC-COL","WT","Female"
"60","J15 MUC-COL","228.773","0.169",29.865,144.472,"n/a",8.156,"J15","MUC-COL","WT","Female"
"61","J2 MUC-COL","352.685","0.379",47.094,346.254,"0.103",32.325,"J2","MUC-COL","WT","Female"
"62","J6 MUC-COL","363.714","n/a",50.78,238.55,"n/a",11.731,"J6","MUC-COL","WT","Female"
"63","J7 MUC-COL","405.794","0.1",51.082,279.747,"n/a",14.087,"J7","MUC-COL","WT","Female"
"64","J9 MUC-COL","467.587","0.06",45.848,416.976,"n/a",13.603,"J9","MUC-COL","WT","Female"
"65","K1 MUC-COL","460.477","0.113",62.996,358.09,"0",21.105,"K1","MUC-COL","MUT","Female"
"66","K10 MUC-COL","173.05","0.05",132.43,188.198,"n/a",7.542,"K10","MUC-COL","MUT","Female"
"67","K11 MUC-COL","238.078","0.115",30.062,171.529,"n/a",6.755,"K11","MUC-COL","MUT","Female"
"68","K2 MUC-COL","1154.691","0.485",128.115,911.774,"n/a",79.55,"K2","MUC-COL","MUT","Female"
"69","K3 MUC-COL","905.152","0.211",111.577,1005.381,"n/a",49.218,"K3","MUC-COL","MUT","Female"
"70","K5 MUC-COL","768.885","0.532",86.603,437.645,"n/a",50.252,"K5","MUC-COL","MUT","Female"
"71","K6 MUC-COL","229.151","0.091",207.626,1024.361,"n/a",9.51,"K6","MUC-COL","MUT","Female"
"72","K7 MUC-COL","265.039","0.246",205.553,1109.635,"n/a",11.358,"K7","MUC-COL","MUT","Female"
"73","K8 MUC-COL","250.946","0.131",184.172,970.802,"n/a",12.902,"K8","MUC-COL","MUT","Female"
"74","K9 MUC-COL","221.828","0",96.233,221.998,"n/a",7.847,"K9","MUC-COL","MUT","Female"
