"","MouseID","Genotype","Sex","Batch","Day","Score"
"81","1467","WT","Female","Unknown","7",2.717391304
"82","1467","WT","Female","Unknown","8",-5.434782609
"83","1467","WT","Female","Unknown","9",0
"84","1467","WT","Female","Unknown","10",5.97826087
"85","1701","WT","Female","Unknown","3",4.210526316
"86","1701","WT","Female","Unknown","6",4.736842105
"87","1701","WT","Female","Unknown","7",9.473684211
"88","1701","WT","Female","Unknown","8",-2.631578947
"89","1701","WT","Female","Unknown","9",1.578947368
"90","1701","WT","Female","Unknown","10",8.421052632
"91","1704","WT","Female","Unknown","3",1.129943503
"92","1704","WT","Female","Unknown","6",0.5649717514
"93","1704","WT","Female","Unknown","7",2.259887006
"94","1704","WT","Female","Unknown","8",-13.55932203
"95","1704","WT","Female","Unknown","9",-18.6440678
"96","1704","WT","Female","Unknown","10",-22.03389831
"97","1715","WT","Female","Unknown","3",1.621621622
"98","1715","WT","Female","Unknown","6",2.702702703
"99","1715","WT","Female","Unknown","7",4.864864865
"100","1715","WT","Female","Unknown","8",-12.43243243
"101","1715","WT","Female","Unknown","9",-18.91891892
"102","1715","WT","Female","Unknown","10",-15.67567568
"103","1722","WT","Female","Two","3",1.01010101
"104","1722","WT","Female","Two","6",3.03030303
"105","1722","WT","Female","Two","7",0
"106","1722","WT","Female","Two","8",-15.15151515
"107","1722","WT","Female","Two","9",-28.78787879
"108","1722","WT","Female","Two","10",-4.545454545
"109","1732","WT","Female","Two","3",-2.094240838
"110","1732","WT","Female","Two","6",-1.570680628
"111","1732","WT","Female","Two","7",0
"112","1732","WT","Female","Two","8",-15.18324607
"113","1732","WT","Female","Two","9",-22.51308901
"114","1732","WT","Female","Two","10",-26.70157068
"115","1736","WT","Female","Two","3",0.5747126437
"116","1736","WT","Female","Two","6",1.724137931
"117","1736","WT","Female","Two","7",3.448275862
"118","1736","WT","Female","Two","8",-13.79310345
"119","1736","WT","Female","Two","9",-1.149425287
"120","1736","WT","Female","Two","10",-22.98850575
"121","1739","WT","Female","Two","3",-0.5208333333
"122","1739","WT","Female","Two","6",2.083333333
"123","1739","WT","Female","Two","7",2.083333333
"124","1739","WT","Female","Two","8",-10.41666667
"125","1739","WT","Female","Two","9",-4.6875
"126","1739","WT","Female","Two","10",-1.5625
"127","1470","HET","Male","One","3",-3.389830508
"128","1470","HET","Male","One","6",2.542372881
"129","1470","HET","Male","One","7",5.93220339
"130","1470","HET","Male","One","8",-7.203389831
"131","1470","HET","Male","One","9",-2.966101695
"132","1470","HET","Male","One","10",-1.694915254
"133","1774","HET","Male","One","3",-1.754385965
"134","1774","HET","Male","One","6",2.631578947
"135","1774","HET","Male","One","7",1.754385965
"136","1774","HET","Male","One","8",-14.47368421
"137","1774","HET","Male","One","9",-19.29824561
"138","1774","HET","Male","One","10",-15.78947368
"139","1718","HET","Male","One","3",1.229508197
"140","1718","HET","Male","One","6",0
"141","1718","HET","Male","One","7",4.508196721
"142","1718","HET","Male","One","8",-12.70491803
"143","1718","HET","Male","One","9",-15.57377049
"144","1718","HET","Male","One","10",-15.98360656
"145","1463","HET","Male","One","3",-2.380952381
"146","1463","HET","Male","One","6",1.19047619
"147","1463","HET","Male","One","7",0.3968253968
"148","1463","HET","Male","One","8",-13.49206349
"149","1463","HET","Male","One","9",-7.936507937
"150","1463","HET","Male","One","10",-1.587301587
"151","1733","HET","Male","Two","3",0.4366812227
"152","1733","HET","Male","Two","6",3.493449782
"153","1733","HET","Male","Two","7",5.240174672
"154","1733","HET","Male","Two","8",-6.550218341
"155","1733","HET","Male","Two","9",-2.620087336
"156","1733","HET","Male","Two","10",1.746724891
"157","1734","HET","Male","Two","3",1.801801802
"158","1734","HET","Male","Two","6",2.252252252
"159","1734","HET","Male","Two","7",5.855855856
"160","1734","HET","Male","Two","8",-13.51351351
"161","1734","HET","Male","Two","9",-20.27027027
"162","1734","HET","Male","Two","10",-19.81981982
"163","1742","HET","Male","Two","3",-1.41509434
"164","1742","HET","Male","Two","6",-0.4716981132
"165","1742","HET","Male","Two","7",5.188679245
"166","1742","HET","Male","Two","8",0
"167","1742","HET","Male","Two","9",3.773584906
"168","1742","HET","Male","Two","10",4.245283019
"169","1755","HET","Male","Four","3",0.7462686567
"170","1755","HET","Male","Four","6",0
"171","1755","HET","Male","Four","7",1.119402985
"172","1755","HET","Male","Four","8",-7.835820896
"173","1755","HET","Male","Four","9",0.3731343284
"174","1755","HET","Male","Four","10",-0.7462686567
"175","1756","HET","Male","Four","3",2.183406114
"176","1756","HET","Male","Four","6",6.550218341
"177","1756","HET","Male","Four","7",6.550218341
"178","1756","HET","Male","Four","8",0.8733624454
"179","1756","HET","Male","Four","9",4.366812227
"180","1756","HET","Male","Four","10",6.550218341
"181","1759","HET","Male","Four","3",1.239669421
"182","1759","HET","Male","Four","6",3.305785124
"183","1759","HET","Male","Four","7",2.479338843
"184","1759","HET","Male","Four","8",0.826446281
"185","1759","HET","Male","Four","9",6.611570248
"186","1759","HET","Male","Four","10",9.090909091
"187","1509_1544","HET","Male","Five","3",5.447470817
"188","1509_1544","HET","Male","Five","6",4.6692607
"189","1509_1544","HET","Male","Five","7",5.447470817
"190","1509_1544","HET","Male","Five","8",-1.945525292
"191","1509_1544","HET","Male","Five","9",5.447470817
"192","1509_1544","HET","Male","Five","10",6.225680934
"193","1512","HET","Male","Five","3",1.739130435
"194","1512","HET","Male","Five","6",2.173913043
"195","1512","HET","Male","Five","7",-0.4347826087
"196","1512","HET","Male","Five","8",-12.17391304
"197","1512","HET","Male","Five","9",-17.82608696
"198","1512","HET","Male","Five","10",-16.52173913
"199","1514","HET","Male","Five","3",0
"200","1514","HET","Male","Five","6",0
"201","1514","HET","Male","Five","7",4.651162791
"202","1514","HET","Male","Five","8",3.100775194
"203","1514","HET","Male","Five","9",5.813953488
"204","1514","HET","Male","Five","10",5.813953488
"205","1508","HET","Male","Five","3",-0.3717472119
"206","1508","HET","Male","Five","6",-1.858736059
"207","1508","HET","Male","Five","7",-4.460966543
"208","1508","HET","Male","Five","8",-14.86988848
"209","1508","HET","Male","Five","9",-10.03717472
"210","1508","HET","Male","Five","10",-6.319702602
"211","1473","MUT","Male","One","3",2.008032129
"212","1473","MUT","Male","One","6",3.212851406
"213","1473","MUT","Male","One","7",5.62248996
"214","1473","MUT","Male","One","8",-5.220883534
"215","1473","MUT","Male","One","9",1.204819277
"216","1473","MUT","Male","One","10",2.008032129
"217","1463","MUT","Male","One","3",3.004291845
"218","1463","MUT","Male","One","6",3.433476395
"219","1463","MUT","Male","One","7",5.150214592
"220","1463","MUT","Male","One","8",3.004291845
"221","1463","MUT","Male","One","9",4.721030043
"222","1463","MUT","Male","One","10",7.725321888
"223","1465","MUT","Male","One","3",4.090909091
"224","1465","MUT","Male","One","6",6.818181818
"225","1465","MUT","Male","One","7",8.181818182
"226","1465","MUT","Male","One","8",7.272727273
"227","1465","MUT","Male","One","9",8.636363636
"228","1465","MUT","Male","One","10",7.727272727
"229","1469","MUT","Male","One","3",2.4
"230","1469","MUT","Male","One","6",4.4
"231","1469","MUT","Male","One","7",12.4
"232","1469","MUT","Male","One","8",-11.6
"233","1469","MUT","Male","One","9",-10.4
"234","1469","MUT","Male","One","10",-2
"235","1474","MUT","Male","Two","3",-1.094890511
