	observed_features
SLCLTFP001	324
SLCLTFP002	431
SLCLTFP003	399
SLCLTFP007	340
SLCLTFP008	360
SLCLTFP009	394
SLCLTFP013	290
SLCLTFP014	313
SLCLTFP015	389
SLCLTFP019	284
SLCLTFP020	406
SLCLTFP021	340
SLCLTFP025	288
SLCLTFP026	352
SLCLTFP027	376
SLCLTFP031	338
SLCLTFP032	374
SLCLTFP033	336
SLCLTFP037	244
SLCLTFP038	354
SLCLTFP039	358
SLCLTFP043	296
SLCLTFP044	480
SLCLTFP045	357
SLCLTFP049	392
SLCLTFP050	379
SLCLTFP051	389
SLCLTFP055	383
SLCLTFP056	427
SLCLTFP057	413
SLCLTFP061	280
SLCLTFP062	374
SLCLTFP063	376
SLCLTFP067	416
SLCLTFP068	411
SLCLTFP069	419
SLCLTFP073	425
SLCLTFP074	392
SLCLTFP075	394
SLCLTFP079	318
SLCLTFP080	369
SLCLTFP081	431
SLCLTFP091	254
SLCLTFP092	342
SLCLTFP093	311
SLCLTFP097	248
SLCLTFP098	358
SLCLTFP099	365
SLCLTFP103	322
SLCLTFP104	388
SLCLTFP105	420
SLCLTFP109	382
SLCLTFP110	412
SLCLTFP111	337
SLCLTFP115	397
SLCLTFP116	449
SLCLTFP117	422
SLCLTFP121	386
SLCLTFP122	399
SLCLTFP123	370
SLCLTFP127	457
SLCLTFP128	344
SLCLTFP129	347
SLCLTFP133	367
SLCLTFP134	357
SLCLTFP135	420
SLCLTFP139	420
SLCLTFP140	429
SLCLTFP141	414
SLCLTFP145	386
SLCLTFP146	400
SLCLTFP147	399
SLCLTFP151	228
SLCLTFP152	432
SLCLTFP153	365
SLCLTFP157	232
SLCLTFP158	273
SLCLTFP159	347
SLCLTFP163	386
SLCLTFP164	220
SLCLTFP165	405
SLCLTFP169	381
SLCLTFP170	437
SLCLTFP171	379
SLCLTFP175	383
SLCLTFP176	429
SLCLTFP177	434
SLCLTFP181	376
SLCLTFP182	412
SLCLTFP183	404
