	chao1
SLCFP145	330.42857142857144
SLCFP146	392.0232558139535
SLCFP147	362.0
SLCFP151	222.5
SLCFP152	320.03703703703707
SLCFP153	333.0
SLCFP157	304.55882352941177
SLCFP158	378.1276595744681
SLCFP159	363.48387096774195
SLCFP163	301.5
SLCFP164	314.6
SLCFP165	297.2
SLCFP169	220.66666666666666
SLCFP170	289.4
SLCFP171	315.22222222222223
SLCFP175	227.58823529411765
SLCFP176	313.0
SLCFP177	331.1111111111111
SLCFP001	249.07692307692307
SLCFP002	242.08333333333334
SLCFP003	275.5
SLCFP007	217.46153846153845
SLCFP008	249.875
SLCFP009	224.33333333333334
SLCFP013	204.6
SLCFP014	277.1
SLCFP015	299.6666666666667
SLCFP019a	222.4
SLCFP020	249.75
SLCFP021	222.0
SLCFP025	186.46153846153845
SLCFP026	188.0
SLCFP027	233.11111111111111
SLCFP031	155.5
SLCFP032	162.0909090909091
SLCFP033	235.54545454545453
SLCFP037	230.75
SLCFP038	210.6
SLCFP039	214.0
SLCFP043	193.2
SLCFP044	198.0
SLCFP045	230.0909090909091
SLCFP049	208.0
SLCFP050	223.0
SLCFP051	259.25
SLCFP055	185.27272727272728
SLCFP056	220.375
SLCFP057	207.0
SLCFP061	188.33333333333334
SLCFP062	207.66666666666666
SLCFP063	225.42857142857142
SLCFP067	159.33333333333334
SLCFP068	169.66666666666666
SLCFP069	180.0
SLCFP073	188.71428571428572
SLCFP074	206.75
SLCFP075	187.0
SLCFP079	118.21428571428571
SLCFP080	200.33333333333334
SLCFP081	214.14285714285714
SLCFP085	198.27272727272728
SLCFP086	214.23076923076923
SLCFP087	176.0
SLCFP091	198.9090909090909
SLCFP092	235.75
SLCFP093	208.25
SLCFP097	193.8
SLCFP098	209.5
SLCFP099	162.0
SLCFP103	208.0
SLCFP104	175.0
SLCFP105	210.0
SLCFP109	234.0
SLCFP110	201.0
SLCFP111	228.0
SLCFP115	163.2
SLCFP116	184.0
SLCFP121	210.375
SLCFP122	154.0
SLCFP123	188.0
SLCFP127	155.9090909090909
SLCFP128	220.11764705882354
SLCFP129	181.0
SLCFP133	150.5
SLCFP134	231.11111111111111
SLCFP135	196.25
SLCFP139	174.75
SLCFP140	209.0
SLCFP141	212.0
