OTU ID	SLCLTFP004	SLCLTFP005	SLCLTFP006	SLCLTFP010	SLCLTFP011	SLCLTFP012	SLCLTFP016	SLCLTFP017	SLCLTFP018	SLCLTFP022	SLCLTFP023	SLCLTFP024	SLCLTFP028	SLCLTFP029	SLCLTFP030	SLCLTFP034	SLCLTFP035	SLCLTFP036	SLCLTFP040	SLCLTFP041	SLCLTFP042	SLCLTFP046	SLCLTFP047	SLCLTFP048	SLCLTFP052	SLCLTFP053	SLCLTFP054	SLCLTFP058	SLCLTFP059	SLCLTFP060	SLCLTFP064	SLCLTFP065	SLCLTFP066	SLCLTFP070	SLCLTFP071	SLCLTFP072	SLCLTFP076	SLCLTFP077	SLCLTFP078	SLCLTFP082	SLCLTFP083	SLCLTFP084	SLCLTFP094	SLCLTFP095	SLCLTFP096	SLCLTFP100	SLCLTFP101	SLCLTFP102	SLCLTFP106	SLCLTFP107	SLCLTFP108	SLCLTFP112	SLCLTFP113	SLCLTFP114	SLCLTFP118	SLCLTFP119	SLCLTFP120	SLCLTFP124	SLCLTFP125	SLCLTFP126	SLCLTFP130	SLCLTFP131	SLCLTFP132	SLCLTFP136	SLCLTFP137	SLCLTFP138	SLCLTFP142	SLCLTFP143	SLCLTFP144	SLCLTFP148	SLCLTFP149	SLCLTFP150	SLCLTFP154	SLCLTFP155	SLCLTFP156	SLCLTFP160	SLCLTFP161	SLCLTFP162	SLCLTFP166	SLCLTFP167	SLCLTFP168	SLCLTFP172	SLCLTFP173	SLCLTFP174	SLCLTFP178	SLCLTFP179	SLCLTFP180	SLCLTFP184	SLCLTFP185	SLCLTFP186	taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__	275	374	562	331	175	275	1194	2144	952	258	327	121	300	302	163	916	1115	768	376	367	246	551	543	514	226	5399	3320	609	1970	3658	5511	6269	19600	774	1021	2049	1495	1696	2134	2920	7944	6418	2873	382	15787	2475	1408	570	1452	484	4094	4319	2007	5092	737	528	521	4495	4324	5441	709	610	11772	2568	7108	3723	1265	2372	2952	420	163	5330	173	7782	3639	248	1616	465	11976	31968	417	1287	1719	2720	1086	4260	2223	1413	3066	932	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	71	47	66	1484	503	1441	712	341	148	72	63	67	69	59	39	60	75	56	44	63	36	222	40	53	34	4271	233	78	77	76	62	81	75	84	62	49	62	55	69	80	111	53	58	48	65	65	45	38	85	181	78	341	154	209	64	49	35	75	61	69	59	43	49	54	45	48	82	91	60	41	67	115	37	221	108	50	53	37	61	63	32	63	53	56	5236	55	38	83	60	35	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-001	92	58	134	56	41	40	37	178	20	103	127	79	45	14	26	753	1824	1194	11	45	40	58	36	44	25	33	138	0	60	62	33	58	62	113	254	132	129	160	294	315	777	556	907	477	583	892	678	342	478	365	617	913	489	1086	51	28	31	73	81	66	27	42	902	70	28	57	427	602	1056	264	55	2247	34	169	1655	50	1349	76	1192	2620	838	640	962	1145	807	1888	768	477	845	279	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum	387	537	796	633	617	433	538	801	381	590	601	323	9656	6726	3224	779	575	491	201	210	234	484	263	151	226	24046	9075	16495	23735	17610	4495	2481	1984	1967	3052	3885	583	741	1266	2117	1233	447	130	36	107	126	57	51	93	94	50	92	60	60	35877	21001	8337	1165	978	1124	1654	3090	1487	1524	1070	341	56	47	41	46	42	186	144	46250	856	665	1212	588	1576	713	2629	815	754	543	90	747	204	14073	12952	4623	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	9	0	90	0	6	6	5	10	7	6	8	0	13	10	0	0	10	3	3	0	0	0	7	0	9	10	76	0	9	5	10	10	11	10	0	0	0	13	11	12	7	0	0	7	0	12	0	0	11	0	3	6	5	10	0	0	0	7	8	0	6	7	6	11	0	10	0	0	7	0	4	5	10	11	11	5	0	10	4	0	0	0	0	6	14	5	0	10	9	3	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__	824	731	1814	3054	4078	3814	1104	3373	2769	541	712	473	363	553	548	0	0	2	2465	4738	7017	2394	3584	4297	3056	4321	9284	1190	3322	3530	0	3	0	1774	5893	3041	712	1455	2761	2046	2472	1326	5011	5840	3206	5511	8928	14331	2806	1792	1367	6426	5682	8939	1395	3388	5554	0	0	0	0	0	0	0	0	0	4237	7044	8125	1651	3411	5694	4744	133	6267	3199	4622	3725	833	511	558	2515	2831	3909	7751	13444	5926	1479	1771	1113	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus	9949	2736	1481	22751	8832	19691	21206	7877	5651	11674	6804	4003	130	382	111	120	52	124	13811	18262	3465	2470	196	97	2579	609	3919	57	465	110	242	77	51	256	680	55	52	46	105	260	47	28	90	84	32	92	226	179	53	86	52	177	68	91	124	27	35	28	158	206	35	39	27	29	134	41	98	105	129	36	46	36	1565	36	539	709	73	74	22	0	40	21	74	80	106	168	98	43	74	12	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter	0	0	0	0	0	0	0	11	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0	9	4	0	0	0	0	0	0	11	0	0	0	9	10	8	0	0	0	0	0	0	0	0	6	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	7	0	9	0	0	0	9	9	0	0	11	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus	472	459	1126	1895	2667	2464	762	2191	1735	319	496	317	254	337	344	0	0	0	1676	2916	4312	1584	2323	2850	2021	2927	6345	798	2230	2330	0	0	0	1379	4323	2228	527	1165	2137	1662	1905	1151	3100	3629	2206	3657	5819	9645	1747	1053	940	4295	3630	5557	896	2233	3553	0	0	0	0	0	0	0	0	0	2569	4115	4803	1038	2029	3235	3005	80	4121	2158	2696	2475	535	349	435	1618	1826	2558	4911	8095	3867	936	1173	727	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium	141	146	318	517	207	267	1203	2117	1636	210	298	102	366	458	425	1766	2497	1218	159	85	145	770	1024	867	147	15524	9851	511	2218	3870	6421	10391	8747	289	883	3923	1733	2640	4577	3415	14063	9086	2349	359	5119	3707	1990	614	1919	763	3615	4424	4195	6877	2109	848	536	7957	5931	6601	416	398	2819	3736	6558	3849	754	1986	2288	48	0	1598	59	2579	1230	290	2461	689	4502	15814	717	2257	2885	2764	1068	3248	3294	7841	12154	4751	
