OTU ID	SLCLTFP004	SLCLTFP005	SLCLTFP006	SLCLTFP010	SLCLTFP011	SLCLTFP012	SLCLTFP016	SLCLTFP017	SLCLTFP018	SLCLTFP022	SLCLTFP023	SLCLTFP024	SLCLTFP028	SLCLTFP029	SLCLTFP030	SLCLTFP034	SLCLTFP035	SLCLTFP036	SLCLTFP040	SLCLTFP041	SLCLTFP042	SLCLTFP046	SLCLTFP047	SLCLTFP048	SLCLTFP052	SLCLTFP053	SLCLTFP054	SLCLTFP058	SLCLTFP059	SLCLTFP060	SLCLTFP064	SLCLTFP065	SLCLTFP066	SLCLTFP070	SLCLTFP071	SLCLTFP072	SLCLTFP076	SLCLTFP077	SLCLTFP078	SLCLTFP082	SLCLTFP083	SLCLTFP084	SLCLTFP094	SLCLTFP095	SLCLTFP096	SLCLTFP100	SLCLTFP101	SLCLTFP102	SLCLTFP106	SLCLTFP107	SLCLTFP108	SLCLTFP112	SLCLTFP113	SLCLTFP114	SLCLTFP118	SLCLTFP119	SLCLTFP120	SLCLTFP124	SLCLTFP125	SLCLTFP126	SLCLTFP130	SLCLTFP131	SLCLTFP132	SLCLTFP136	SLCLTFP137	SLCLTFP138	SLCLTFP142	SLCLTFP143	SLCLTFP144	SLCLTFP148	SLCLTFP149	SLCLTFP150	SLCLTFP154	SLCLTFP155	SLCLTFP156	SLCLTFP160	SLCLTFP161	SLCLTFP162	SLCLTFP166	SLCLTFP167	SLCLTFP168	SLCLTFP172	SLCLTFP173	SLCLTFP174	SLCLTFP178	SLCLTFP179	SLCLTFP180	SLCLTFP184	SLCLTFP185	SLCLTFP186	taxonomy
k__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__Anaeroplasma	0	7	0	0	0	0	0	32	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	5	0	11	4	0	5	0	0	0	8	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	6	0	241	24	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia vadinBB60 group;f__;g__	0	13	5	11	0	0	0	36	4	12	0	4	0	12	6	4	0	0	7	0	6	8	0	0	0	11	42	0	0	5	0	0	8	0	0	0	7	0	10	18	0	0	0	0	10	6	3	0	0	3	7	50	0	0	16	7	7	0	0	2	0	0	399	4	0	11	0	0	0	8	5	89	0	1007	127	5	0	10	113	86	0	0	0	6	0	0	6	9	10	4	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella	0	0	0	3	0	12	0	75	0	0	5	3	5	0	2	0	0	0	0	0	0	0	4	0	0	22	9	0	0	9	16	0	8	0	0	0	0	7	6	0	0	0	0	0	228	0	5	0	3	13	40	30	0	0	0	0	0	13	5	5	0	0	207	17	5	16	0	0	0	0	0	39	0	65	55	0	0	11	198	385	0	11	0	6	4	23	3	302	107	78	
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	0	2	8	0	0	8	9	47	0	9	13	0	6	9	11	17	13	9	0	6	17	5	17	13	6	41	215	30	31	101	15	11	64	19	8	85	27	20	143	69	45	186	21	7	142	27	13	9	0	7	81	33	9	42	31	5	11	36	15	25	0	4	14	44	23	36	0	0	0	0	4	96	8	109	97	3	19	11	46	209	3	17	20	50	30	33	56	214	200	157	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia UCG-014;f__;g__	28	0	33	40	0	30	78	247	88	24	57	15	32	55	50	394	261	197	26	82	86	0	26	0	0	124	348	36	82	146	252	145	339	21	52	48	158	105	127	722	960	1169	99	0	225	33	17	18	31	33	136	48	14	80	40	34	29	497	430	326	31	24	2659	232	216	274	0	0	43	0	5	204	16	41	235	27	18	74	755	627	16	171	47	79	0	133	845	419	705	253	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium] coprostanoligenes group;g__	10	9	21	0	0	0	10	47	8	0	0	0	10	7	0	30	0	7	10	0	0	0	0	0	8	0	16	0	14	15	8	26	59	0	0	0	0	0	0	0	0	0	9	0	248	9	6	7	0	0	9	12	8	0	7	0	0	18	9	26	0	18	356	15	30	13	0	0	0	0	0	103	0	143	172	5	18	0	425	465	0	18	22	0	4	47	86	17	42	32	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Aquabacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes	13	10	25	0	0	0	0	0	7	0	11	0	12	10	0	0	16	0	24	0	7	9	0	0	22	87	117	12	57	39	27	13	15	8	11	12	33	12	11	103	80	34	15	0	0	6	0	0	17	0	14	10	14	0	36	22	0	12	13	13	15	20	77	8	10	21	0	0	0	0	18	49	0	41	42	23	101	10	133	179	8	85	105	80	36	66	409	104	188	42	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium	5	12	12	6	0	12	27	46	44	13	9	6	25	13	14	25	0	10	35	30	26	0	11	7	30	177	144	20	40	81	58	57	91	12	4	0	0	5	0	0	21	0	0	9	79	7	14	0	8	12	18	0	0	8	88	20	12	25	40	46	58	40	244	22	74	25	8	13	19	6	8	70	15	19	268	23	77	11	52	42	0	58	59	78	0	32	133	15	38	18	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__	0	17	31	0	0	5	0	20	0	0	0	0	0	0	0	6	0	0	0	11	0	0	0	0	0	12	39	13	19	10	93	117	0	0	0	18	37	0	0	32	8	4	0	0	81	15	12	0	0	0	13	71	12	5	0	12	0	8	11	0	0	4	708	8	48	9	32	35	23	14	0	617	0	964	514	13	9	15	443	711	0	0	6	0	26	141	0	41	109	6	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus	223	102	350	284	326	272	203	402	408	248	418	296	246	401	528	487	582	846	193	253	501	359	311	437	42	885	523	282	575	690	919	1245	992	100	255	586	379	709	590	750	2080	1269	855	237	259	1319	360	191	277	144	336	681	959	544	372	211	179	433	901	857	213	155	202	527	797	351	288	543	552	3	0	85	159	414	269	432	731	765	235	429	191	499	539	284	228	391	198	1173	1136	460	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__	0	0	0	0	0	5	0	8	0	0	0	0	3	0	5	3	7	0	0	5	0	0	10	0	0	0	14	6	7	2	15	10	0	0	0	0	5	9	0	0	4	0	7	0	40	0	0	0	0	0	0	33	0	0	0	0	0	6	0	0	7	0	330	0	5	0	0	0	0	0	0	347	0	608	234	0	0	9	209	436	0	0	0	0	0	70	0	0	18	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	14	0	83	110	0	0	0	0	15	0	0	27	22	9	0	0	8	0	0	0	0	0	10	20	0	25	0	0	0	22	0	0	0	0	319	0	0	0	26	34	23	16	0	140	0	124	71	0	8	0	35	41	0	16	5	0	11	14	10	20	41	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus	5	0	11	0	0	10	3	67	25	6	11	5	0	0	0	24	12	6	3	0	0	0	0	0	0	190	342	9	23	95	183	117	339	12	23	23	18	16	30	21	79	257	41	0	342	19	17	0	33	7	26	94	19	9	19	8	9	43	24	20	5	0	446	25	98	43	46	73	124	33	0	95	0	459	93	0	21	4	60	91	0	17	15	29	41	37	87	30	114	30	
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__	16	93	0	8	7	2	0	399	14	146	63	16	23	558	383	0	73	53	94	501	88	51	41	13	539	6916	16098	5	207	544	58	43	38	315	1616	842	272	43	675	270	60	15	488	63	8	54	48	6886	36	250	183	30	6	90	11	10	43	46	11	138	17	71	8	0	8	7	35	34	1015	159	100	274	21	7	0	0	22	0	0	0	95	17	29	40	295	546	36	36	186	15	
k__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Gastranaerophilales;f__;g__	3	0	14	0	5	4	4	4	0	10	0	0	7	11	13	0	0	0	2	5	5	0	4	3	7	5	85	0	0	0	3	14	0	3	0	4	12	20	9	7	39	0	4	0	37	2	5	0	5	5	0	8	3	0	3	3	3	9	6	15	0	6	425	4	5	8	16	6	22	4	8	262	0	260	164	8	34	12	888	444	4	18	19	29	5	34	20	47	47	18	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__A2	0	44	40	0	0	21	5	35	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	58	75	0	14	70	59	53	0	0	0	0	36	8	7	35	51	0	81	0	119	133	27	7	44	19	59	93	9	14	0	0	0	25	0	61	0	0	363	11	76	0	60	95	123	0	13	323	0	970	191	0	0	0	104	221	0	0	0	0	40	106	34	7	27	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas	0	0	19	0	0	0	0	40	0	11	14	0	0	0	0	12	0	14	0	0	12	13	0	0	0	64	108	0	0	26	149	156	139	0	23	23	50	48	58	82	140	98	125	0	434	56	13	0	43	0	45	95	33	36	0	0	0	25	30	36	0	0	608	38	40	18	42	48	68	0	0	395	0	721	192	0	30	0	406	679	0	27	23	9	24	130	63	41	80	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__[Eubacterium] siraeum group	10	0	11	8	6	0	0	10	10	0	0	0	12	0	0	9	0	0	0	0	0	0	0	0	4	8	14	11	0	0	8	16	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	5	0	0	9	10	0	0	0	8	10	0	0	0	60	7	0	6	8	0	5	8	8	195	0	220	262	0	9	0	87	251	0	12	7	4	12	20	10	12	11	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family XIII UCG-001	0	7	9	0	0	0	13	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	5	0	7	40	23	93	0	0	5	9	9	0	9	11	17	15	0	176	13	0	0	4	0	23	22	3	0	0	0	0	26	10	9	0	0	43	0	12	9	0	0	22	0	0	21	0	75	12	0	5	0	42	287	0	4	0	0	13	35	20	5	15	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	68	15	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	259	0	0	0	0	0	15	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	27	0	42	0	0	0	0	220	1005	0	0	0	0	12	46	0	0	26	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575	0	0	0	0	0	8	11	0	0	0	6	0	0	19	15	0	0	0	0	0	0	0	0	7	0	126	47	0	19	19	147	128	18	0	15	0	51	21	0	134	119	13	0	0	105	0	9	0	13	0	23	24	12	0	0	15	0	31	29	13	0	0	616	13	30	0	22	21	5	0	0	352	0	276	143	0	11	0	230	262	0	57	19	0	13	67	57	53	117	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae Sedis	0	0	16	0	12	22	39	163	95	12	3	0	0	27	54	90	56	65	19	37	27	0	19	35	18	165	336	67	182	290	238	200	949	0	19	64	66	112	161	145	177	711	214	17	261	155	49	0	61	0	190	206	60	211	40	26	6	141	90	232	23	34	321	65	270	229	48	108	157	0	0	240	0	245	222	26	68	43	215	812	0	60	80	205	15	166	277	41	131	47	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__	67	28	77	79	78	65	98	149	112	44	83	44	104	129	104	48	86	73	128	117	125	135	112	83	34	346	189	286	458	280	117	117	111	26	49	60	60	127	62	86	261	97	143	33	31	114	30	13	21	19	23	77	66	49	107	103	88	79	106	71	71	87	52	105	82	37	13	25	21	0	0	11	43	0	63	119	234	177	24	25	22	125	153	103	30	35	69	142	102	42	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-002	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	10	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	86	217	0	0	0	0	21	13	0	10	15	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	92	72	156	78	93	72	57	85	80	76	44	40	117	61	47	45	26	50	27	33	52	43	40	80	50	179	169	84	107	123	63	53	94	80	48	58	54	29	38	93	103	36	84	19	75	58	51	27	99	36	42	60	47	33	105	63	66	97	42	76	52	55	45	40	27	53	70	48	43	0	80	66	52	401	43	100	58	0	53	66	0	66	38	56	93	67	47	80	97	14	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__	0	6	7	0	2	12	7	55	17	0	9	0	0	0	0	20	3	5	8	4	0	0	0	0	0	14	22	0	0	0	9	28	55	0	0	4	4	9	6	0	11	18	19	0	117	18	0	0	0	0	7	9	16	44	0	6	0	3	5	14	0	6	240	0	19	6	7	17	25	0	0	14	0	0	62	5	7	4	54	147	0	0	5	5	0	10	25	13	13	13	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UCG-009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	3	0	0	0	0	0	0	0	33	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	46	0	25	27	0	0	0	0	11	0	0	0	0	0	8	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__Peptococcus	0	0	14	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	65	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	27	0	0	0	0	0	0	0	0	19	0	51	12	0	0	0	27	86	0	0	0	0	0	8	0	4	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	545	60	79	183	62	0	0	0	78	107	34	298	429	308	128	798	609	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	368	60	0	0	0	0	150	0	90	66	0	0	55	168	0	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	11	0	0	150	90	344	127	127	63	367	64	50	49	50	29	11	0	0	0	0	0	18	0	0	40	694	195	0	0	0	104	77	36	11	0	0	14	0	12	36	10	0	0	0	0	114	36	22	18	64	20	126	59	122	17	0	10	0	6	0	0	0	0	10	0	11	36	12	12	16	38	0	11	66	46	12	0	0	8	0	34	0	0	0	714	21	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	8	4	42	0	199	15	0	0	0	7	29	0	0	0	0	9	0	0	0	3	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__;g__	0	0	0	3	0	0	2	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	3	0	6	22	3	0	0	0	0	0	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	2	4	0	0	385	0	7	7	0	0	7	0	0	15	0	2	27	3	0	3	872	711	0	6	2	3	0	19	9	4	16	6	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales Incertae Sedis;g__	21	18	44	32	23	24	33	50	37	38	67	42	37	34	30	86	108	99	15	24	36	46	39	36	4	122	121	102	156	131	94	138	121	15	53	115	56	186	114	77	334	153	139	16	60	86	53	26	37	41	49	80	76	95	49	35	23	107	125	96	15	16	63	100	88	59	19	30	33	0	0	15	26	0	31	8	55	40	25	51	17	24	30	32	13	30	24	63	74	31	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter	53	36	46	51	33	0	37	31	38	31	39	19	42	51	38	27	0	24	40	24	34	38	34	38	27	48	38	39	47	51	34	0	30	38	31	37	31	31	35	52	51	33	32	0	34	28	36	27	53	26	16	35	16	24	56	32	27	50	42	26	37	29	33	32	29	28	32	23	0	0	35	35	0	95	33	52	25	35	27	34	0	35	0	29	34	29	29	39	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae R-7 group	0	0	7	0	0	0	2	29	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	10	21	0	6	0	6	0	0	0	0	0	8	5	0	14	6	0	0	0	14	5	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	47	0	0	0	0	0	0	0	0	22	0	5	41	0	0	0	52	31	0	0	0	0	0	8	0	0	11	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus	22	13	21	18	20	17	16	0	15	0	30	0	21	25	0	9	0	25	15	0	6	27	0	0	16	26	28	23	31	19	0	26	21	23	0	4	19	0	23	15	28	15	14	3	29	4	0	21	30	0	17	17	15	10	22	19	26	25	20	24	26	18	67	12	12	14	0	12	16	0	24	54	17	82	82	24	21	2	57	58	0	0	17	0	22	27	0	21	13	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] xylanophilum group	0	36	86	0	0	0	35	73	43	0	0	0	0	0	0	10	12	0	0	0	0	0	0	0	0	23	11	0	27	77	11	14	42	0	0	0	0	16	0	13	37	22	61	0	55	17	10	0	19	0	82	19	0	9	0	5	0	12	12	17	0	0	8	0	72	12	0	16	0	0	0	13	0	2941	5	0	49	6	62	88	0	37	60	0	10	94	206	19	75	20	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus	12	0	0	23	12	12	42	64	50	27	47	16	3	8	5	30	30	19	15	25	15	16	11	6	7	121	181	42	103	103	0	0	19	0	21	7	27	24	40	96	192	140	56	7	50	34	22	6	0	0	27	22	24	79	29	41	28	117	107	101	18	15	76	32	39	43	0	0	0	0	0	7	7	0	23	10	62	15	186	296	9	24	55	58	0	27	46	43	65	37	
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	2	4	0	4	4	0	3	47	3	0	0	5	0	7	0	0	0	4	8	0	10	0	6	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	63	6	2	0	0	0	0	0	5	27	0	2	30	0	0	2	47	16	0	3	0	5	0	0	0	8	0	3	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	6	0	17	0	39	23	0	0	0	45	22	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__;g__	0	66	0	0	0	0	3	10	32	18	11	0	8	215	155	2	57	17	46	268	38	13	9	0	292	3832	2859	0	63	101	15	20	8	101	1351	246	73	5	248	44	16	8	143	73	4	19	0	1476	16	56	96	0	0	49	9	0	15	6	6	59	4	23	6	3	3	9	15	17	1397	77	81	193	5	0	0	8	17	0	0	0	47	0	17	36	90	120	6	13	62	8	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae AC2044 group	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	467	0	0	248	14	0	0	0	0	0	0	0	0	0	0	0	13	0	0	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia	0	0	0	52	397	408	0	0	0	0	0	19	35	320	531	0	0	0	10	54	38	62	45	17	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	166	825	0	0	0	51	30	713	28	0	0	0	0	0	0	0	0	0	0	0	6	18	462	111	185	434	6	0	1757	0	658	0	0	0	0	0	0	0	0	3	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium] nodatum group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	13	0	0	6	0	0	0	34	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	4	0	0	0	27	0	43	18	0	0	0	85	62	0	0	0	0	0	7	0	0	9	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214 group	0	0	10	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	35	0	103	15	0	0	0	91	84	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter	20	21	19	0	18	20	20	0	0	0	22	12	0	23	15	0	16	0	0	22	15	21	16	20	20	19	24	25	24	0	16	27	18	20	0	15	20	16	0	33	19	0	14	9	0	17	23	0	32	27	18	26	0	15	0	0	13	22	22	24	0	0	22	0	18	0	0	17	12	0	23	0	17	65	15	21	18	14	12	30	0	0	15	0	34	13	0	31	20	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	0	12	0	0	0	8	11	6	4	10	0	12	0	21	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	7	0	0	0	6	0	13	4	5	13	0	29	28	0	15	9	7	0	8	16	0	10	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium] brachy group	0	0	0	16	0	4	11	5	13	0	0	0	0	4	5	43	70	34	4	5	0	0	4	0	0	50	64	25	53	69	26	74	64	0	7	9	17	52	24	79	226	85	39	0	57	36	11	3	3	6	21	11	20	109	15	10	3	59	62	63	11	2	14	16	71	21	6	33	25	0	0	20	0	36	15	4	28	12	26	86	8	27	13	28	4	15	19	31	93	49	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_9	0	12	126	12	18	0	18	64	17	18	25	13	28	15	19	0	20	0	15	15	0	13	18	28	0	10	40	12	18	20	20	21	14	9	25	22	0	31	16	22	37	16	16	0	21	0	23	12	16	14	0	18	13	0	24	0	18	0	20	20	14	0	15	24	9	19	15	0	10	12	12	0	0	62	12	14	21	14	20	0	0	0	14	23	0	11	15	21	19	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tuzzerella	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	17	0	0	20	0	0	0	0	37	0	0	0	0	0	6	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	21	0	23	46	0	0	0	58	62	0	0	0	0	0	5	24	0	12	2	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum	16	0	37	18	0	14	0	0	23	0	0	0	15	19	0	0	0	0	0	0	0	16	0	0	0	17	24	0	12	0	0	14	9	0	12	0	16	0	10	11	0	8	15	0	15	12	0	16	12	9	0	0	11	0	21	0	0	13	0	0	13	0	14	15	0	0	0	15	10	8	0	0	25	51	18	0	39	14	13	0	0	17	17	9	19	18	0	13	0	0	
