OTU ID	SLCDTT142	SLCDTT143	SLCDTT144	SLCDTT148	SLCDTT149	SLCDTT150	SLCDTT154	SLCDTT155	SLCDTT156	SLCDTT160	SLCDTT161	SLCDTT162	SLCDTT166	SLCDTT167	SLCDTT168	SLCDTT172	SLCDTT173	SLCDTT174	SLCDTT178	SLCDTT179	SLCDTT180	SLCdtt004	SLCdtt005	SLCdtt006	SLCdtt010	SLCdtt011	SLCdtt012	SLCdtt016	SLCdtt017	SLCdtt018	SLCdtt022	SLCdtt023	SLCdtt024	SLCdtt028	SLCdtt029	SLCdtt030	SLCdtt034	SLCdtt035	SLCdtt036	SLCdtt040	SLCdtt041	SLCdtt042	SLCdtt046	SLCdtt047	SLCdtt048	SLCdtt052	SLCdtt053	SLCdtt054	SLCdtt058	SLCdtt059	SLCdtt060	SLCdtt064	SLCdtt065	SLCdtt066	SLCdtt070	SLCdtt071	SLCdtt072	SLCdtt076	SLCdtt077	SLCdtt078	SLCdtt082	SLCdtt083	SLCdtt084	SLCdtt088	SLCdtt089	SLCdtt090	SLCdtt094	SLCdtt095	SLCdtt096	SLCdtt100	SLCdtt101	SLCdtt102	SLCdtt106	SLCdtt107	SLCdtt108	SLCdtt112	SLCdtt113	SLCdtt114	SLCdtt118	SLCdtt119	SLCdtt120	SLCdtt124	SLCdtt125	SLCdtt126	SLCdtt130	SLCdtt131	SLCdtt132	SLCdtt136	SLCdtt137	SLCdtt138	taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter	41	502	17	2092	80	65	38	442	153	2475	95	50	76	144	149	646	47	102	318	28	610	6	0	37	33	16	0	69	161	41	86	0	0	25	159	0	8	0	0	0	7	0	8	0	0	24	29	0	10	86	16	65	423	0	36	0	13	14	14	16	11	0	67	7	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea	0	76	0	1366	69	61	0	17	77	1263	39	153	0	22	15	434	111	28	22	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium	0	9	0	0	0	24	0	333	100	0	29	0	0	92	22	0	4	0	0	3	0	72	170	171	81	86	0	160	195	123	162	8	38	133	205	144	55	0	13	124	155	90	86	30	12	90	79	53	12	67	9	91	149	23	30	0	0	97	84	87	50	0	99	71	136	75	0	34	78	27	60	69	60	27	41	10	30	54	35	34	47	34	0	34	31	12	92	23	29	6	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes	53	206	16	1594	166	245	0	48	78	31	8	14	0	22	42	10	40	35	616	34	34	6	6	29	40	0	0	35	72	50	57	0	0	86	24	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	78	0	0	6	0	0	0	0	0	0	0	0	0	0	10	36	3	4	0	4	0	0	0	0	0	0	12	0	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus	367	600	410	204	743	626	197	206	294	219	265	523	277	410	557	204	221	329	213	290	400	0	3	0	6	5	0	25	54	14	82	10	15	34	95	20	5	0	0	0	0	5	78	29	23	34	245	19	0	0	0	15	62	7	3	0	0	38	0	12	0	0	0	11	76	41	0	0	0	0	0	0	10	0	12	0	0	8	0	0	0	0	5	0	25	0	76	0	23	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae Sedis	639	1214	324	930	127	206	160	199	333	1413	185	447	58	232	172	693	132	1067	117	64	157	11	28	47	153	39	0	137	482	113	371	0	28	338	244	60	0	0	5	0	37	31	16	0	5	44	27	29	23	100	0	76	215	8	18	0	10	85	31	74	21	0	42	63	130	102	5	0	0	0	0	0	19	0	15	0	24	44	19	4	8	0	0	0	8	0	53	0	18	5	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter	252	295	55	267	20	17	7	20	14	231	31	45	11	18	106	206	61	97	121	0	673	0	6	8	25	0	0	28	9	16	146	0	0	136	27	12	7	0	3	0	0	0	0	0	0	9	0	0	0	14	0	66	100	0	11	0	3	82	9	7	6	0	5	32	29	9	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	5	13	5	15	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__	180	302	57	812	48	66	24	163	121	1310	93	206	40	68	104	656	168	74	146	52	401	12	19	15	0	20	0	69	37	14	196	0	0	210	37	11	0	0	0	4	7	0	0	6	0	19	6	0	12	39	0	202	324	0	9	0	0	19	19	6	13	0	40	58	23	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	441	412	250	285	34	36	38	31	70	436	119	254	18	13	26	108	54	360	124	32	72	7	11	10	64	0	0	28	138	223	254	6	19	61	59	0	3	0	4	0	10	0	111	14	7	31	36	0	0	23	5	85	122	17	8	0	0	0	0	0	4	0	28	0	0	0	6	3	7	0	0	0	0	0	10	0	2	19	0	0	0	0	0	0	7	0	32	5	9	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas	1481	1398	283	2129	110	173	18	256	57	1873	164	191	31	125	228	1040	174	285	267	22	498	0	36	0	171	60	0	102	137	54	343	0	16	196	40	7	0	0	0	0	0	0	0	0	0	12	8	0	0	70	0	77	273	28	19	0	0	127	11	21	0	0	33	0	47	11	0	0	24	0	24	0	12	0	12	0	0	18	0	0	0	0	0	0	0	0	22	14	45	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__Anaeroplasma	1526	1470	400	228	31	11	0	194	30	160	56	57	7	78	33	103	22	8	62	8	162	5	7	6	12	18	0	44	20	9	40	3	0	133	41	13	0	0	0	0	0	0	0	0	0	0	3	4	35	38	7	87	191	11	0	0	0	62	10	7	18	0	15	30	22	4	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	5	0	0	16	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575	88	772	19	1512	22	71	10	181	113	2474	65	130	27	74	60	377	33	111	538	11	148	0	0	9	0	0	0	53	54	24	15	0	0	25	9	0	0	0	0	0	0	0	0	0	0	0	0	0	19	8	2	9	164	0	17	0	9	23	0	9	0	0	54	0	5	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	22	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus	35	55	28	589	35	25	21	103	76	25	49	27	15	70	71	83	63	143	486	61	42	16	0	12	0	0	0	5	30	8	20	0	0	11	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	3	34	0	0	57	0	0	0	0	3	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	
k__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Gastranaerophilales;f__;g__	426	485	152	454	113	91	64	16	66	642	65	101	31	68	132	166	54	53	4193	24	204	8	9	12	78	0	0	51	36	10	150	0	4	94	8	15	0	0	0	0	6	5	0	0	0	0	0	0	5	18	0	49	107	11	4	0	0	23	15	8	0	0	11	7	10	0	6	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	15	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] xylanophilum group	19	37	0	442	45	53	38	393	168	148	120	19	0	136	245	38	10	4	11	0	2220	0	11	13	40	13	0	41	171	59	38	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	0	0	38	7	0	3	0	12	11	23	26	0	0	0	0	0	0	0	0	0	0	8	13	0	0	3	0	0	0	0	4	0	0	14	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-004	61	72	55	259	33	30	0	155	36	126	23	22	24	45	0	83	21	0	19	49	29	0	0	0	0	0	0	0	29	20	81	0	0	43	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	21	22	0	0	0	0	70	0	0	0	0	59	20	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus	22	171	7	446	107	143	358	106	519	261	50	94	13	37	83	17	7	0	0	0	177	0	0	0	81	0	0	56	0	0	18	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	43	16	14	0	0	76	0	28	9	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__	101	255	54	351	64	39	21	69	118	238	40	86	21	28	102	173	77	265	35	0	13	6	12	26	23	32	0	45	45	15	27	0	0	0	3	5	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	14	25	2	8	0	0	54	11	0	5	0	0	8	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Listeria	6	36	12	0	11	20	11	15	10	0	9	0	0	45	10	0	0	0	0	0	51	16	54	61	53	354	0	77	228	131	119	0	23	47	222	53	55	0	8	47	85	69	31	23	16	40	63	9	27	152	0	49	489	27	48	0	17	105	67	120	32	0	49	50	621	34	17	30	47	0	30	27	25	15	20	0	0	28	23	0	13	0	0	10	11	0	28	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia	0	41	20	0	53	54	22	21	30	11	16	10	0	52	65	15	16	7	16	64	0	0	0	7	78	901	0	87	435	167	108	0	64	16	696	37	81	0	20	0	65	63	39	54	60	12	154	7	162	333	109	233	419	63	66	8	91	186	108	177	32	0	136	54	125	31	140	61	47	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor	43	156	13	340	13	14	19	154	42	896	34	45	0	28	22	728	72	15	50	10	90	7	0	9	0	0	0	20	22	8	0	0	0	0	33	5	0	0	0	0	0	0	0	0	0	8	0	2	0	10	0	0	130	0	0	0	0	89	38	19	0	0	0	15	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5	0	10	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__[Eubacterium] siraeum group	19	212	22	0	0	55	0	62	35	11	10	15	12	11	92	96	79	744	189	10	214	0	4	0	0	0	0	7	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	10	0	0	0	14	0	13	24	0	0	0	0	0	0	0	0	0	0	0	18	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family XIII UCG-001	38	81	28	244	42	34	10	10	45	137	30	69	13	31	25	75	20	50	10	7	49	0	0	0	6	0	0	19	125	0	45	0	0	15	15	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	19	35	0	0	0	0	19	0	0	0	0	4	0	7	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__	193	162	291	100	314	196	72	24	150	85	200	275	120	71	154	36	82	56	50	147	0	0	0	0	0	0	0	6	39	21	18	0	9	19	45	27	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	8	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae R-7 group	294	326	132	234	19	8	29	32	91	282	32	61	17	47	58	102	37	180	55	7	0	0	0	6	9	0	0	8	0	0	25	0	0	15	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	17	0	12	16	0	0	0	0	0	0	0	0	0	17	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__Peptococcus	5	106	10	173	17	28	8	0	0	434	24	67	0	27	0	124	18	34	14	12	34	0	0	0	6	0	0	0	9	0	36	0	0	20	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	4	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	
k__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum	0	0	7	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	191	0	0	0	0	86	0	6	0	8	0	4	7	4	59	0	0	0	0	0	0	0	0	0	12	0	9	0	0	0	15	19	0	6	5	0	4	5	0	6	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae UCG-001	0	0	10	0	0	0	2	27	0	0	0	0	0	0	66	0	3	0	0	0	2025	0	0	0	107	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillospira	0	37	0	66	0	0	0	0	20	202	0	0	0	0	13	206	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus	116	96	72	43	30	20	0	13	0	77	42	46	78	120	81	0	0	0	21	34	0	0	0	0	0	3	0	0	44	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	6	0	0	14	0	0	0	0	0	3	0	0	8	0	13	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium] nodatum group	0	70	0	65	0	0	9	49	26	78	17	18	0	51	8	39	9	91	28	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UCG-009	0	21	0	38	0	0	0	42	14	128	0	5	0	0	6	33	4	0	32	5	13	0	0	0	0	0	0	26	14	0	41	0	0	19	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	9	0	9	0	8	6	0	10	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__	112	107	11	148	0	20	6	0	26	132	0	23	3	13	16	50	11	213	28	0	43	0	10	0	7	0	0	16	16	6	0	0	0	17	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	8	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	58	87	59	332	74	135	93	554	198	227	131	102	55	248	160	55	56	193	51	50	192	16	23	44	12	27	0	29	21	0	25	0	0	12	13	0	0	0	0	0	9	0	0	0	5	0	5	0	0	16	4	4	0	40	0	0	0	19	8	0	14	0	3132	0	6	10	17	0	0	0	16	0	0	0	5	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-003	0	20	8	128	0	0	0	0	0	52	0	18	0	0	0	573	48	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tuzzerella	0	27	0	83	9	16	7	93	46	96	29	13	0	0	0	24	0	29	46	0	0	0	0	0	16	0	0	9	0	0	44	0	0	43	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	27	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae;g__Defluviitaleaceae UCG-011	52	86	11	191	34	0	0	0	41	113	21	50	0	0	0	0	0	0	8	0	0	0	5	10	21	8	0	18	33	9	7	0	0	18	3	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	0	5	8	0	0	0	0	9	7	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__;g__	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__	61	35	0	148	8	16	14	92	60	65	22	10	26	11	40	31	26	17	782	10	0	0	7	0	6	0	0	21	8	11	0	2	0	20	0	5	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	31	25	0	2	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005	64	95	29	162	10	12	0	27	39	124	6	15	9	0	0	13	13	60	29	18	62	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__;g__	71	134	37	180	8	26	0	68	73	147	21	27	4	2	20	50	27	117	246	7	0	0	0	0	0	0	0	0	0	0	2	0	0	12	19	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__	119	176	82	21	0	0	7	25	25	35	14	24	0	16	20	13	11	64	0	0	0	0	0	0	0	13	0	18	9	8	0	0	0	25	17	9	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	30	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Anoxybacillus	12	102	28	0	96	243	215	16	188	0	58	44	57	193	128	7	116	13	32	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	45	30	29	68	57	97	60	39	72	54	31	45	40	26	66	34	41	57	34	37	35	0	0	0	0	0	0	0	29	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	12	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214 group	52	88	20	179	27	47	5	10	13	87	0	0	0	0	9	28	21	32	30	0	65	0	0	0	0	0	0	0	0	3	18	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	8	0	10	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter	35	30	0	63	50	27	26	74	44	65	7	35	33	78	36	0	35	0	0	31	76	0	0	8	0	0	0	9	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	13	19	16	0	0	0	26	0	11	0	0	0	17	0	0	0	0	81	0	0	0	0	0	0	14	12	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium] brachy group	31	20	10	43	30	0	10	21	7	60	10	20	9	7	0	13	4	26	6	7	5	0	0	0	4	0	0	0	21	12	10	0	0	11	18	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Deinococcota;c__Deinococci;o__Thermales;f__Thermaceae;g__Meiothermus	14	110	19	0	87	130	60	0	90	0	35	25	19	124	142	4	49	0	14	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Anaerofustaceae;g__Anaerofustis	7	10	3	20	13	0	7	0	0	24	11	18	6	0	0	3	0	22	4	0	14	0	0	0	0	0	0	11	9	0	11	0	0	13	17	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	7	0	3	0	0	0	0	0	0	6	0	0	0	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales Incertae Sedis;g__	0	8	0	33	130	47	41	5	71	31	88	117	0	0	0	0	0	39	8	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	0	7	0	0	6	7	34	20	81	7	42	17	43	36	61	0	5	0	7	24	0	0	24	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8	0	3	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella	0	0	0	0	0	0	0	34	14	0	0	0	0	34	0	0	0	0	0	0	0	0	11	22	14	16	0	22	19	29	28	0	7	17	39	30	14	0	0	11	0	13	9	7	0	12	0	8	0	11	0	14	0	0	0	0	0	14	15	0	9	0	0	15	16	10	0	0	7	0	0	7	0	0	5	0	0	10	0	0	0	0	0	0	0	0	18	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter	0	16	18	19	39	0	13	45	24	37	16	13	14	76	0	18	0	0	13	0	44	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010;g__	0	14	0	29	0	6	0	36	6	12	19	0	0	15	0	81	14	15	3	0	16	0	0	0	0	0	0	0	10	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	19	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family XIII AD3011 group	21	36	7	36	3	15	0	3	14	49	0	0	5	44	11	25	12	57	15	3	0	0	0	0	7	14	0	0	0	0	10	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
