OTU ID	SLCDTT142	SLCDTT143	SLCDTT144	SLCDTT148	SLCDTT149	SLCDTT150	SLCDTT154	SLCDTT155	SLCDTT156	SLCDTT160	SLCDTT161	SLCDTT162	SLCDTT166	SLCDTT167	SLCDTT168	SLCDTT172	SLCDTT173	SLCDTT174	SLCDTT178	SLCDTT179	SLCDTT180	SLCdtt004	SLCdtt005	SLCdtt006	SLCdtt010	SLCdtt011	SLCdtt012	SLCdtt016	SLCdtt017	SLCdtt018	SLCdtt022	SLCdtt023	SLCdtt024	SLCdtt028	SLCdtt029	SLCdtt030	SLCdtt034	SLCdtt035	SLCdtt036	SLCdtt040	SLCdtt041	SLCdtt042	SLCdtt046	SLCdtt047	SLCdtt048	SLCdtt052	SLCdtt053	SLCdtt054	SLCdtt058	SLCdtt059	SLCdtt060	SLCdtt064	SLCdtt065	SLCdtt066	SLCdtt070	SLCdtt071	SLCdtt072	SLCdtt076	SLCdtt077	SLCdtt078	SLCdtt082	SLCdtt083	SLCdtt084	SLCdtt088	SLCdtt089	SLCdtt090	SLCdtt094	SLCdtt095	SLCdtt096	SLCdtt100	SLCdtt101	SLCdtt102	SLCdtt106	SLCdtt107	SLCdtt108	SLCdtt112	SLCdtt113	SLCdtt114	SLCdtt118	SLCdtt119	SLCdtt120	SLCdtt124	SLCdtt125	SLCdtt126	SLCdtt130	SLCdtt131	SLCdtt132	SLCdtt136	SLCdtt137	SLCdtt138	taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__A2	8	200	0	2187	19	18	29	755	219	1648	138	91	21	155	130	548	47	0	0	0	571	0	0	44	22	0	0	86	508	24	44	0	0	12	43	0	0	0	0	0	0	0	0	0	0	0	0	0	4	28	0	11	118	0	12	0	0	0	0	20	0	0	17	6	13	0	0	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0	0	0	0	7	0	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	55	6226	107	70	102	158	59	131	148	77	81	62	58	95	45	46	53	78	83	46	144	15	45	61	23	30	0	59	90	70	35	0	0	43	0	0	0	0	0	0	0	6	0	0	0	0	0	0	16	0	0	0	17	0	0	0	10	18	10	8	0	0	19359	0	3	0	0	0	0	0	5	5	0	0	0	0	6	180	0	0	0	0	0	0	19	0	0	0	131	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter	629	1085	221	2058	125	130	125	418	177	2369	188	264	53	177	235	1439	290	711	315	26	770	20	25	27	186	117	0	303	166	40	680	10	22	283	102	0	0	0	0	0	32	0	22	14	8	33	43	0	37	243	22	173	707	30	59	0	22	202	106	71	32	0	68	100	88	0	0	16	21	0	0	12	0	0	13	0	0	0	0	0	0	0	0	0	19	20	25	0	28	0	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae RC9 gut group	849	2090	304	3910	150	364	153	128	393	1045	170	145	92	105	271	173	911	4837	9016	25	326	0	0	0	0	0	0	22	38	11	62	0	0	74	12	4	0	0	0	0	0	0	6	0	0	9	12	0	0	8	0	64	60	5	3	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	62	0	0	0	0	0	0	0	0	52	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	286	513	316	829	0	335	3013	3962	1064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium sensu stricto 1	15	0	0	0	0	10	9	91	0	9	24	10	0	0	6	0	0	13	0	9	0	0	0	0	0	8	0	0	28	7	133	0	7	0	12	5	0	0	0	9	0	0	393	169	64	28	42	0	18	189	12	10	309	28	458	0	96	14	0	28	15	0	41	0	9	7	0	0	0	0	9	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	0	7	0	0	63	22	0	33	27	0	13	0	0	24	22	11	19	0	47	179	33	50	1809	4384	24	478	0	28	250	53	37	0	0	0	32	0	0	0	0	0	0	0	0	10	0	0	0	0	0	151	35	12	129	0	0	0	0	2957	761	1535	0	0	1800	196	960	451	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus	153	365	111	1839	203	269	100	63	175	2330	224	529	78	17	289	1349	306	76	142	132	310	9	18	33	27	39	0	164	134	38	223	0	0	24	39	5	6	0	12	8	39	13	2	6	0	24	21	0	11	43	0	186	414	9	18	0	10	83	35	45	6	0	90	52	82	26	10	0	10	0	0	0	11	0	0	0	0	0	6	0	0	0	0	0	11	4	25	10	16	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium	197	1722	163	788	111	218	89	132	353	495	194	195	24	40	9	185	187	2095	137	27	0	0	0	9	56	33	0	27	19	5	59	0	2	58	33	19	0	0	0	0	0	0	22	10	0	9	0	0	13	16	0	95	218	20	8	0	0	0	0	0	0	0	28	0	0	0	7	0	0	0	8	0	0	0	15	0	4	6	0	0	0	0	0	0	0	0	4	3	37	0	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella	33	166	27	568	81	36	83	29	162	1332	119	240	66	7	118	406	89	134	43	32	44	0	6	10	29	31	0	61	52	54	0	0	0	20	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	4	0	10	0	
