	pielou_evenness
SLCDTT145	0.720383438995118
SLCDTT146	0.7532804661808818
SLCDTT147	0.7411829709053087
SLCDTT151	0.5647699300599234
SLCDTT152	0.6665038669924909
SLCDTT153	0.6364526529915642
SLCDTT157	0.6674308468325233
SLCDTT158	0.7301671673887292
SLCDTT159	0.6703963209461037
SLCDTT163	0.6946852282447501
SLCDTT164	0.7224951504537749
SLCDTT165	0.6429293891228639
SLCDTT169	0.531566698184448
SLCDTT170	0.7377174824354332
SLCDTT171	0.5999904024967644
SLCDTT175	0.4904987250452618
SLCDTT176	0.6877681060504646
SLCDTT177	0.6951536567369527
SLCdtt001	0.13916014013153513
SLCdtt002	0.7025079684966529
SLCdtt003	0.5021557539635007
SLCdtt007	0.5895648844401719
SLCdtt008	0.7155695681616073
SLCdtt009	0.5600315647849781
SLCdtt013	0.7812547937209857
SLCdtt014	0.4506869067050686
SLCdtt015	0.6397203779027103
SLCdtt019	0.48734875664097627
SLCdtt020	0.7662623389122629
SLCdtt021	0.7008380915774128
SLCdtt025	0.5683393680231479
SLCdtt026	0.7592123578784584
SLCdtt027	0.7385591833113258
SLCdtt031	0.6275000900788689
SLCdtt032	0.6284472876769323
SLCdtt033	0.7492973626902997
SLCdtt037	0.6011121455320731
SLCdtt038	0.7266146160622005
SLCdtt039	0.5331790036695495
SLCdtt044	0.6338125470699568
SLCdtt045	0.3440332362497
SLCdtt050	0.7091703759064415
SLCdtt051	0.601414889288846
SLCdtt055	0.4513934211091737
SLCdtt056	0.7406017015953014
SLCdtt057	0.6592999663959584
SLCdtt062	0.5952924334586028
SLCdtt063	0.7629912031125008
SLCdtt067	0.47680683512442634
SLCdtt068	0.7702497670686481
SLCdtt069	0.7892495241865146
SLCdtt074	0.7207616715557221
SLCdtt075	0.6375797243603629
SLCdtt079	0.5801589685586633
SLCdtt080	0.8134078957861771
SLCdtt081	0.6162770526013203
SLCdtt087	0.5624936169802359
SLCdtt091	0.5609364986259312
SLCdtt092	0.6196605359895696
SLCdtt093	0.7316145835920468
SLCdtt097	0.4909755260847225
SLCdtt098	0.42695886386175086
SLCdtt099	0.3872437861183828
SLCdtt103	0.3042848319377738
SLCdtt105	0.6008520830107665
SLCdtt109	0.5766132462431239
SLCdtt110	0.7351567187934689
SLCdtt111	0.760306731956125
SLCdtt115	0.4676443307695618
SLCdtt116	0.6997837504318326
SLCdtt117	0.6219254720530419
SLCdtt121	0.5362491052396123
SLCdtt122	0.7043249260547664
SLCdtt123	0.5105837673346144
SLCdtt128	0.7452083610605331
SLCdtt129	0.43133078131332314
SLCdtt133	0.7171571474994372
SLCdtt134	0.7853706084108011
SLCdtt135	0.7033832954450874
SLCdtt139	0.46422574943968925
SLCdtt140	0.754091618127458
SLCdtt141	0.6845110664018889
