	shannon_entropy
SLCDTT145	6.271336281978918
SLCDTT146	6.116514396575071
SLCDTT147	6.298908788871138
SLCDTT151	4.656739567705982
SLCDTT152	5.562722246629472
SLCDTT153	5.283469288505741
SLCDTT157	5.859277148102604
SLCDTT158	6.214948452306433
SLCDTT159	5.739079804486281
SLCDTT163	6.105184510788686
SLCDTT164	6.035580795469248
SLCDTT165	5.332253294498721
SLCDTT169	4.455813020223209
SLCDTT170	6.1970249635933685
SLCDTT171	4.9954482738934605
SLCDTT175	4.227735591365175
SLCDTT176	5.686390894041753
SLCDTT177	5.849493913327521
SLCdtt001	0.9350853789449538
SLCdtt002	5.733126751209502
SLCdtt003	4.021407606927536
SLCdtt007	4.6533605832677125
SLCdtt008	5.928116373426373
SLCdtt009	4.4809504606833
SLCdtt013	6.379227684490758
SLCdtt014	3.4103834778360222
SLCdtt015	5.45488903398976
SLCdtt019	3.61344433519097
SLCdtt020	6.053773769314456
SLCdtt021	5.278699285196919
SLCdtt025	4.551139441657593
SLCdtt026	6.112585017976785
SLCdtt027	6.012145445680732
SLCdtt031	4.92100003365279
SLCdtt032	5.021496559183792
SLCdtt033	5.753816370073038
SLCdtt037	4.998370181140256
SLCdtt038	5.86206897668645
SLCdtt039	4.287571599089763
SLCdtt044	5.065956573666217
SLCdtt045	2.4799525058131393
SLCdtt050	5.722584688083582
SLCdtt051	4.798634518654871
SLCdtt055	3.175293966000255
SLCdtt056	5.696423615132418
SLCdtt057	5.17409293195786
SLCdtt062	4.914838625528705
SLCdtt063	6.070479059590846
SLCdtt067	3.788535211661168
SLCdtt068	5.88051629622631
SLCdtt069	6.472050217751581
SLCdtt074	5.889582535529911
SLCdtt075	4.920678512944005
SLCdtt079	4.573828802239641
SLCdtt080	6.385824662083255
SLCdtt081	4.697097777946387
SLCdtt087	4.424645060650326
SLCdtt091	4.1227481647265
SLCdtt092	4.813935506907493
SLCdtt093	5.870872630783154
SLCdtt097	4.0781249164879
SLCdtt098	3.240384531799608
SLCdtt099	2.9469626461002205
SLCdtt103	2.330390052991285
SLCdtt105	4.5385281701714515
SLCdtt109	4.563869796029137
SLCdtt110	5.777303449159741
SLCdtt111	5.95391672577579
SLCdtt115	3.461799929729527
SLCdtt116	5.007425444622276
SLCdtt117	4.700441171993041
SLCdtt121	4.1610374438660305
SLCdtt122	5.170695626101841
SLCdtt123	3.8967125282244837
SLCdtt128	5.997716093450184
SLCdtt129	3.288561753789872
SLCdtt133	5.473292796483894
SLCdtt134	6.252342081967692
SLCdtt135	5.45824672692014
SLCdtt139	3.3976061841444958
SLCdtt140	5.5902886096614335
SLCdtt141	5.279462866573066
