	shannon_entropy
SLCFP145	5.007275007718268
SLCFP146	6.035020093790909
SLCFP147	6.282934574356893
SLCFP151	4.430928139547273
SLCFP152	5.169823386488651
SLCFP153	5.572864260404955
SLCFP157	4.876744595551581
SLCFP158	5.664203989594836
SLCFP159	6.137320449924992
SLCFP163	5.397168965013872
SLCFP164	5.36486148521974
SLCFP165	5.619255948019868
SLCFP169	3.9056441872454712
SLCFP170	4.921416842022321
SLCFP171	4.849179336350265
SLCFP175	3.7832591642820774
SLCFP176	4.695134311289536
SLCFP177	5.372761931205004
SLCFP001	5.660635665159908
SLCFP002	5.8555483082227715
SLCFP003	5.968458526950442
SLCFP007	4.742673837442791
SLCFP008	5.591803396296458
SLCFP009	5.509147906434903
SLCFP013	5.212633402708545
SLCFP014	6.182342734679802
SLCFP015	6.008652564755989
SLCFP019a	4.731731205925689
SLCFP020	4.999039546739262
SLCFP021	4.980884980708088
SLCFP025	4.976143569319062
SLCFP026	5.439580369885921
SLCFP027	5.983983933332336
SLCFP031	4.082880861947745
SLCFP032	4.447778958945986
SLCFP033	5.452326796546901
SLCFP037	5.631474518421008
SLCFP038	5.4535331169701236
SLCFP039	5.369537846249173
SLCFP043	4.340125961066976
SLCFP044	5.393168556961243
SLCFP045	5.020311802449671
SLCFP049	4.145759423934177
SLCFP050	4.9291115143395885
SLCFP051	6.198613141649816
SLCFP055	4.874149848683326
SLCFP056	5.134912722526952
SLCFP057	5.561931165748768
SLCFP061	4.7807928535313815
SLCFP062	4.673658849191629
SLCFP063	5.508040680671773
SLCFP067	4.772979958534515
SLCFP068	4.749512782010911
SLCFP069	5.4640150910734535
SLCFP073	3.6396369368979036
SLCFP074	4.422015418352387
SLCFP075	4.919120456743156
SLCFP079	3.634610332555064
SLCFP080	5.2334414282638155
SLCFP081	5.381436326301798
SLCFP085	4.763960700434316
SLCFP086	4.799312553480218
SLCFP087	5.583780502454567
SLCFP091	5.12907150026741
SLCFP092	4.954588530312933
SLCFP093	5.32465516909003
SLCFP097	4.323032637162851
SLCFP098	5.024080519235817
SLCFP099	4.092966540375025
SLCFP103	4.637202819091443
SLCFP104	4.553842544545151
SLCFP105	4.2970762476763955
SLCFP109	5.414223358862548
SLCFP110	5.979195898474884
SLCFP111	6.095114630669361
SLCFP115	4.55414557188964
SLCFP116	5.626101685556408
SLCFP121	5.300861359922797
SLCFP122	4.869438270129249
SLCFP123	5.213782083825774
SLCFP127	3.773022921805622
SLCFP128	4.610864918944989
SLCFP129	5.031361452361823
SLCFP133	4.499741540314432
SLCFP134	5.340976752743915
SLCFP135	5.791094881343248
SLCFP139	5.07216594110973
SLCFP140	5.709752824733413
SLCFP141	5.634908230966225
