	pielou_evenness
SLCDTT145	0.719664860172373
SLCDTT146	0.747748456525194
SLCDTT147	0.7442418206727027
SLCDTT151	0.5655762289883443
SLCDTT152	0.6677202915375121
SLCDTT153	0.6424450648012441
SLCDTT157	0.6652709241259621
SLCDTT158	0.7298223951443052
SLCDTT159	0.673319421396119
SLCDTT163	0.6973458550186967
SLCDTT164	0.7214138591497371
SLCDTT165	0.6397124870697817
SLCDTT169	0.5390018235367011
SLCDTT170	0.7414880529811976
SLCDTT171	0.6084995006863949
SLCDTT175	0.4933263504761152
SLCDTT176	0.6789688503146825
SLCDTT177	0.6941977357242822
SLCdtt001	0.135621478485071
SLCdtt002	0.6996091346036284
SLCdtt003	0.5016220249527773
SLCdtt007	0.5898734990415109
SLCdtt008	0.7171004530290024
SLCdtt009	0.5658577912535703
SLCdtt013	0.7770587638878715
SLCdtt014	0.4461600785213793
SLCdtt015	0.6340220757225962
SLCdtt019	0.48657628761525645
SLCdtt020	0.7668034843628757
SLCdtt021	0.7001708569156812
SLCdtt025	0.5709232359900995
SLCdtt026	0.7568063111665857
SLCdtt027	0.7386335174246309
SLCdtt031	0.6308246608449704
SLCdtt032	0.6341183587496859
SLCdtt033	0.7465353918858566
SLCdtt037	0.603611707157717
SLCdtt038	0.7277297877044231
SLCdtt039	0.5333517609520301
SLCdtt044	0.6368910668009172
SLCdtt045	0.33787509347445743
SLCdtt050	0.7099368015592079
SLCdtt051	0.6006789236030997
SLCdtt055	0.44603459047673727
SLCdtt056	0.7424540951829807
SLCdtt057	0.6632687251903745
SLCdtt062	0.5938575092463036
SLCdtt063	0.7593458442307823
SLCdtt067	0.47770277218957596
SLCdtt068	0.7629742166482711
SLCdtt069	0.7888346756902714
SLCdtt074	0.7165667087695557
SLCdtt075	0.6361814152759792
SLCdtt079	0.5793457099791494
SLCdtt080	0.810112118751874
SLCdtt081	0.6139153109319307
SLCdtt087	0.5617514811010395
SLCdtt091	0.561015195854374
SLCdtt092	0.6262844177116839
SLCdtt093	0.721277178139918
SLCdtt097	0.4964653620725595
SLCdtt098	0.42273222815126466
SLCdtt099	0.39048679715392454
SLCdtt103	0.2997368333211724
SLCdtt105	0.6051495242039631
SLCdtt109	0.5798803433687266
SLCdtt110	0.7317842694242305
SLCdtt111	0.7626035687137244
SLCdtt115	0.47164450613691156
SLCdtt116	0.6993736631691186
SLCdtt117	0.6184861944601371
SLCdtt121	0.5393965533423826
SLCdtt122	0.6986596215515879
SLCdtt123	0.5102663443403714
SLCdtt128	0.7440692645249709
SLCdtt129	0.435306516126233
SLCdtt133	0.7120656242886678
SLCdtt134	0.7848997485415738
SLCdtt135	0.7050662021175356
SLCdtt139	0.47127098433600734
SLCdtt140	0.7469837280929154
SLCdtt141	0.6807916768747702
