	observed_features
SLCDTT145	426
SLCDTT146	289
SLCDTT147	357
SLCDTT151	296
SLCDTT152	311
SLCDTT153	301
SLCDTT157	447
SLCDTT158	361
SLCDTT159	363
SLCDTT163	427
SLCDTT164	326
SLCDTT165	315
SLCDTT169	299
SLCDTT170	345
SLCDTT171	303
SLCDTT175	391
SLCDTT176	333
SLCDTT177	347
SLCdtt001	119
SLCdtt002	286
SLCdtt003	256
SLCdtt007	239
SLCdtt008	302
SLCdtt009	245
SLCdtt013	293
SLCdtt014	199
SLCdtt015	386
SLCdtt019	171
SLCdtt020	237
SLCdtt021	189
SLCdtt025	247
SLCdtt026	266
SLCdtt027	284
SLCdtt031	225
SLCdtt032	242
SLCdtt033	209
SLCdtt037	310
SLCdtt038	268
SLCdtt039	257
SLCdtt044	247
SLCdtt045	161
SLCdtt050	264
SLCdtt051	252
SLCdtt055	137
SLCdtt056	206
SLCdtt057	223
SLCdtt062	316
SLCdtt063	254
SLCdtt067	236
SLCdtt068	207
SLCdtt069	294
SLCdtt074	308
SLCdtt075	212
SLCdtt079	243
SLCdtt080	236
SLCdtt081	209
SLCdtt087	233
SLCdtt091	163
SLCdtt092	209
SLCdtt093	274
SLCdtt097	284
SLCdtt098	198
SLCdtt099	187
SLCdtt103	212
SLCdtt105	181
SLCdtt109	230
SLCdtt110	238
SLCdtt111	224
SLCdtt115	162
SLCdtt116	143
SLCdtt117	192
SLCdtt121	210
SLCdtt122	168
SLCdtt123	197
SLCdtt128	266
SLCdtt129	188
SLCdtt133	205
SLCdtt134	254
SLCdtt135	214
SLCdtt139	155
SLCdtt140	179
SLCdtt141	215
