MouseID,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Phenotype,Sex,Genotype
1189,-0.88%,1.75%,2.63%,2.19%,-0.88%,-10.96%,-16.67%,-26.75%,NA,NA,Percent_Change_Weight,Male,HET
1198,0.77%,1.92%,2.30%,-0.77%,-6.13%,-15.71%,-22.61%,-27.97%,-30.65%,NA,Percent_Change_Weight,Male,HET
1229,2.62%,1.31%,6.11%,1.75%,0.00%,-8.73%,-12.66%,-16.59%,-17.90%,-17.47%,Percent_Change_Weight,Male,HET
1230,4.00%,2.67%,5.78%,2.22%,0.89%,-7.56%,-6.22%,-17.78%,-18.67%,-17.78%,Percent_Change_Weight,Male,HET
1208,0.00%,0.44%,3.98%,3.98%,1.77%,-7.52%,-7.96%,-10.62%,-15.49%,-15.49%,Percent_Change_Weight,Male,HET
1212,-1.38%,4.15%,2.76%,1.38%,-2.76%,-9.68%,-14.29%,-19.35%,-22.58%,-25.35%,Percent_Change_Weight,Male,HET
1288,-1.07%,0.36%,0.36%,0.36%,-3.56%,-4.98%,-7.47%,-10.68%,-15.66%,-17.08%,Percent_Change_Weight,Male,HET
1327,1.49%,0.75%,0.75%,0.37%,-0.75%,-1.87%,-6.34%,-6.72%,-10.45%,-8.96%,Percent_Change_Weight,Male,HET
1333,1.61%,0.81%,1.21%,1.21%,-1.61%,-3.23%,-3.23%,-5.24%,-10.08%,-8.06%,Percent_Change_Weight,Male,HET
1209,2.44%,0.00%,2.93%,3.90%,0.00%,-8.78%,-12.20%,-19.51%,-23.90%,-26.83%,Percent_Change_Weight,Male,MUT
1210,-2.16%,-0.43%,0.86%,0.43%,-1.29%,-8.19%,-4.74%,-7.33%,-11.64%,-12.93%,Percent_Change_Weight,Male,MUT
1190,1.19%,-1.19%,2.77%,0.79%,-1.98%,-9.88%,-9.88%,-15.42%,-18.18%,-17.79%,Percent_Change_Weight,Male,MUT
1197,3.02%,3.45%,4.74%,2.16%,-1.72%,-14.22%,-21.98%,-27.16%,NA,NA,Percent_Change_Weight,Male,MUT
1199,-0.38%,0.00%,1.51%,0.38%,-1.13%,-6.04%,-7.55%,-9.43%,-15.09%,-16.23%,Percent_Change_Weight,Male,MUT
1200,2.34%,4.30%,3.91%,1.17%,-0.78%,-8.20%,-14.84%,-17.19%,-21.48%,-23.44%,Percent_Change_Weight,Male,MUT
1201,1.93%,2.70%,2.32%,-0.77%,-1.16%,-8.88%,-13.13%,-20.85%,-21.24%,-24.71%,Percent_Change_Weight,Male,MUT
1202,2.42%,4.84%,4.03%,4.03%,2.02%,-6.05%,-9.68%,-14.11%,-16.13%,-19.35%,Percent_Change_Weight,Male,MUT
