OTU ID	SLCLTDTT028	SLCLTDTT029	SLCLTDTT030	SLCLTDTT034	SLCLTDTT035	SLCLTDTT036	SLCLTDTT040	SLCLTDTT041	SLCLTDTT042	SLCLTDTT046	SLCLTDTT047	SLCLTDTT048	SLCLTDTT052	SLCLTDTT053	SLCLTDTT054	SLCLTDTT058	SLCLTDTT059	SLCLTDTT060	SLCLTDTT064	SLCLTDTT065	SLCLTDTT066	SLCLTDTT070	SLCLTDTT071	SLCLTDTT072	SLCLTDTT076	SLCLTDTT077	SLCLTDTT078	SLCLTDTT082	SLCLTDTT083	SLCLTDTT084	SLCLTDTT004	SLCLTDTT005	SLCLTDTT006	SLCLTDTT010	SLCLTDTT011	SLCLTDTT012	SLCLTDTT016	SLCLTDTT017	SLCLTDTT018	SLCLTDTT022	SLCLTDTT023	SLCLTDTT024	SLCLTDTT094	SLCLTDTT095	SLCLTDTT096	SLCLTDTT100	SLCLTDTT101	SLCLTDTT102	SLCLTDTT106	SLCLTDTT107	SLCLTDTT108	SLCLTDTT112	SLCLTDTT113	SLCLTDTT114	SLCLTDTT118	SLCLTDTT119	SLCLTDTT120	SLCLTDTT124	SLCLTDTT125	SLCLTDTT126	SLCLTDTT130	SLCLTDTT131	SLCLTDTT132	SLCLTDTT136	SLCLTDTT137	SLCLTDTT138	SLCLTDTT142	SLCLTDTT143	SLCLTDTT144	SLCLTDTT148	SLCLTDTT149	SLCLTDTT150	SLCLTDTT154	SLCLTDTT155	SLCLTDTT156	SLCLTDTT160	SLCLTDTT161	SLCLTDTT162	SLCLTDTT166	SLCLTDTT167	SLCLTDTT168	SLCLTDTT172	SLCLTDTT173	SLCLTDTT174	SLCLTDTT178	SLCLTDTT179	SLCLTDTT180	SLCLTDTT184	SLCLTDTT185	SLCLTDTT186	taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia	28	0	20	224	3416	1813	74	1809	296	189	135	487	112	303	409	185	57	190	91	163	209	526	207	393	72	72	479	154	590	361	0	20	30	34	40	36	51	94	52	43	254	161	89	56	202	566	80	234	18	68	121	680	46	104	192	86	262	272	216	100	527	50	107	143	351	245	268	22	82	362	54	8	225	152	404	0	247	19	375	225	530	228	167	132	45	47	536	12	218	167	
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	37	56	107	49	221	241	45	79	53	60	45	34	277	992	1330	60	398	339	47	71	44	55	174	93	54	72	46	37	3985	28	43	91	145	37	58	71	36	72	40	49	116	35	44	55	33	62	674	139	41	37	35	35	138	27	144	444	216	31	161	29	77	33	36	23	154	23	71	25	46	37	234	34	44	100	97	41	402	47	49	46	40	81	88	64	26	35	144	19353	42	48	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASF356	42	19	19	131	2759	1135	137	2689	332	24	30	74	46	38	416	0	0	0	18	0	0	54	0	31	11	15	12	14	0	4	0	20	22	16	25	11	14	26	22	22	37	24	37	72	21	106	11	30	11	0	0	332	14	20	26	0	0	13	83	0	318	68	19	0	14	0	102	14	19	36	30	0	49	48	56	12	21	21	89	12	58	22	31	18	24	0	23	185	7	16	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__	14	0	8	28	374	196	26	472	62	29	31	67	77	101	277	62	12	63	34	13	28	353	74	91	20	26	35	31	109	0	12	6	10	8	23	21	0	18	7	27	118	63	35	48	14	94	12	15	7	23	16	153	18	8	35	5	41	29	30	13	44	8	10	15	23	20	69	10	13	36	11	11	39	32	176	0	81	21	135	10	106	22	11	0	10	14	9	363	5	17	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	34	0	10	91	1346	934	33	835	170	33	25	99	93	282	656	267	0	196	39	11	69	254	15	74	27	10	14	52	82	0	0	19	8	10	21	22	0	10	0	0	46	13	47	39	16	523	373	71	0	6	0	295	55	12	49	0	50	41	127	0	258	38	0	51	178	60	330	83	177	1001	235	97	22	33	81	0	151	7	159	10	146	313	95	89	183	34	7	30	0	18	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__28-4	69	38	29	85	1027	616	63	878	158	98	122	233	47	50	79	34	25	35	48	28	49	119	47	111	35	61	58	54	36	20	30	35	54	36	46	28	39	54	41	59	77	33	77	44	43	267	63	123	26	52	50	95	36	15	68	22	89	61	124	23	57	42	34	30	77	50	48	26	30	31	48	23	66	74	136	30	169	37	37	35	25	36	31	30	38	26	41	3283	30	14	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter	0	0	0	31	351	116	0	214	9	13	9	22	30	35	130	11	0	16	0	17	0	496	85	53	0	15	0	12	200	11	0	9	20	6	0	24	17	0	0	19	20	13	79	19	10	66	173	34	0	25	7	156	41	21	14	0	50	18	52	0	87	8	0	18	35	0	115	0	23	29	59	0	57	23	36	9	51	10	103	8	58	66	0	10	13	0	0	3795	0	12	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter	48	23	24	94	1247	692	47	830	120	81	65	166	241	296	1636	423	22	276	37	0	91	1601	362	818	119	97	91	134	221	15	21	24	51	19	0	38	19	17	0	62	225	80	166	200	43	1241	170	171	19	72	18	1067	38	57	152	0	244	117	72	0	147	34	14	31	128	97	530	0	41	313	53	28	102	80	184	5	134	17	765	32	528	159	40	56	79	107	28	1235	0	109	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae RC9 gut group	27	16	6	35	578	595	31	342	90	23	32	77	199	97	3514	115	23	112	40	33	42	186	38	136	45	35	30	44	68	16	7	15	25	16	15	8	16	42	38	52	258	116	22	39	15	65	24	34	21	16	28	46	28	20	132	23	102	39	66	0	476	64	17	30	111	102	77	12	22	78	29	22	44	31	64	21	82	16	95	40	87	40	32	27	15	45	35	2612	29	62	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae FCS020 group	0	17	0	0	134	159	0	92	17	40	15	69	37	73	311	25	0	24	7	15	41	216	53	78	12	20	56	27	120	71	0	13	21	0	16	9	0	0	9	0	66	39	118	57	76	121	87	58	20	0	24	367	19	48	18	0	47	40	56	42	39	0	0	54	76	61	111	22	13	40	49	16	35	11	54	0	6	8	121	33	177	20	13	0	20	9	61	254	28	79	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__Anaeroplasma	17	0	7	23	351	180	12	342	57	13	8	33	66	334	1496	103	23	130	0	0	10	124	44	73	6	6	11	32	80	0	0	0	8	0	0	0	5	0	8	0	0	0	6	10	3	86	4	45	0	0	0	22	7	11	342	9	182	7	9	0	98	10	0	0	9	6	8	3	0	0	0	0	26	27	57	3	267	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia vadinBB60 group;f__;g__	92	10	20	136	2226	1439	104	1650	304	70	66	169	147	253	2203	355	3	174	27	8	50	423	60	294	51	43	63	55	62	0	0	11	30	28	16	14	41	59	23	28	111	61	22	84	21	308	33	92	11	17	0	823	35	42	267	0	198	45	92	0	765	104	0	80	282	311	91	13	47	333	92	44	203	154	297	19	686	22	150	16	159	51	23	23	22	2	4	2186	3	39	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella	41	7	0	42	721	496	0	519	107	9	8	0	38	116	859	94	17	76	26	10	5	0	2	0	0	0	0	8	0	0	0	0	0	0	10	7	11	11	11	23	84	57	17	57	61	106	9	38	2	28	45	289	18	26	68	2	94	35	26	9	28	14	0	23	31	36	60	0	18	21	0	0	25	21	31	5	268	8	70	30	55	19	0	6	0	32	93	454	172	343	
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	14	5	17	39	524	281	18	358	85	21	28	70	62	314	514	125	67	169	47	50	56	526	101	317	45	75	126	101	98	130	0	7	0	9	0	19	15	20	14	9	27	30	47	67	104	417	51	77	8	13	46	174	22	43	51	24	142	62	49	64	64	9	17	35	43	27	75	0	23	12	44	0	50	44	115	10	134	20	117	145	126	35	18	13	12	63	165	134	504	800	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella	0	0	140	0	0	0	0	13	0	0	0	0	0	410	220	0	0	0	0	0	0	0	0	0	95	120	39	0	52	0	0	0	0	653	549	245	0	0	0	147	1830	386	0	0	0	0	303	0	0	0	0	0	87	0	0	0	0	0	88	0	0	0	0	0	85	0	0	0	0	0	159	0	0	0	50	0	1319	59	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia UCG-014;f__;g__	39	0	23	102	1128	873	24	555	105	0	32	97	21	120	246	68	29	90	50	19	43	109	74	102	61	44	53	143	163	146	0	24	0	9	23	26	25	46	27	20	18	17	49	0	0	39	11	39	8	36	66	64	0	34	48	32	29	157	201	133	200	57	39	100	187	155	69	18	84	21	0	0	128	68	308	0	520	26	40	29	37	24	43	15	9	25	171	1881	104	248	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium] coprostanoligenes group;g__	14	0	0	17	147	161	0	103	14	0	11	19	32	13	190	20	3	0	10	8	0	0	15	7	0	0	4	8	49	0	0	0	0	3	5	0	5	7	0	12	41	25	0	11	0	39	944	13	0	0	0	25	123	7	9	0	0	24	156	0	192	52	0	22	211	30	38	7	0	32	217	0	33	26	57	0	129	13	77	12	46	12	7	0	0	0	0	143	6	14	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Aquabacterium	36	116	170	6	134	12	0	63	10	0	7	8	274	275	340	75	115	100	61	497	2424	296	5257	691	708	987	617	168	50	27	103	441	609	71	467	805	48	406	15	101	688	115	17	20	8	21	12	11	0	0	5	14	8	0	14	44	46	5	22	6	106	42	62	22	45	24	31	7	6	0	0	0	70	95	529	0	553	34	20	5	9	0	6	0	0	0	0	3	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes	28	10	11	17	61	81	10	31	13	16	22	13	32	91	584	17	0	17	0	7	22	86	33	27	22	15	25	29	17	13	0	0	11	7	12	12	0	11	0	12	15	0	12	20	0	0	498	0	0	9	0	13	66	6	46	29	13	0	117	0	157	23	39	22	78	9	57	23	25	9	92	0	41	29	30	0	44	15	40	8	19	36	45	33	0	22	109	1379	52	67	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium	7	0	10	10	262	175	8	287	50	18	21	28	108	139	1041	24	10	31	10	13	7	17	19	27	0	13	0	20	6	6	3	4	0	9	0	0	13	16	18	17	98	33	0	17	4	9	81	16	7	4	0	6	0	3	34	25	66	7	13	10	314	44	19	3	40	29	21	6	14	36	25	7	54	20	112	17	144	16	14	0	7	35	22	19	6	0	70	188	16	26	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__	16	0	0	72	710	312	17	494	68	30	23	65	75	117	605	165	31	58	19	13	26	555	83	105	49	45	89	10	297	0	0	20	15	0	13	19	5	5	0	18	102	35	69	32	10	87	58	92	0	13	7	337	21	0	50	0	112	89	26	0	103	0	0	14	42	34	265	5	8	141	23	9	55	10	46	0	170	13	278	14	169	72	0	0	21	16	0	1766	9	33	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus	17	52	77	179	250	146	14	184	141	94	91	158	35	127	300	129	89	163	147	70	112	119	134	314	64	31	84	184	159	180	29	55	19	50	78	79	40	23	38	38	80	26	275	155	89	342	70	112	42	27	95	298	208	182	51	52	61	98	205	106	154	34	75	135	143	58	71	61	73	37	15	10	43	40	29	95	313	216	93	71	85	82	71	45	117	40	140	126	279	377	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__	40	8	0	59	770	391	16	619	100	33	35	81	83	98	522	223	4	125	12	10	3	507	46	163	46	38	77	32	88	0	15	16	4	10	0	10	6	4	0	0	84	33	29	47	8	472	376	67	0	3	0	447	27	22	52	10	76	40	63	0	130	17	0	16	67	28	120	9	9	99	54	0	65	44	117	8	141	9	284	0	204	23	0	0	0	11	2	399	0	7	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor	8	0	0	11	197	64	9	125	0	0	0	16	10	41	24	0	0	0	0	0	10	251	12	0	10	7	15	16	95	5	0	0	0	0	0	0	0	0	0	0	0	0	44	7	4	24	10	24	0	13	0	113	0	0	0	0	0	9	0	0	35	0	0	31	16	10	102	0	0	57	22	12	0	9	49	0	16	0	78	0	48	38	0	10	0	0	0	112	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus	37	0	19	51	668	513	23	423	75	61	37	119	61	339	611	209	14	135	48	49	86	655	48	172	27	17	39	64	48	67	0	0	10	0	8	0	0	9	8	30	104	49	59	44	24	183	69	17	5	0	14	295	0	12	65	20	98	57	52	15	88	19	41	28	40	32	203	25	35	84	40	29	62	54	175	3	176	0	55	0	37	60	0	7	47	78	98	336	22	138	
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__	0	0	81	0	57	39	0	100	6	0	9	17	39	46	31	0	0	27	6	0	19	24	15	49	35	21	50	51	0	19	0	128	46	0	0	60	0	18	0	29	205	57	17	21	44	5	60	317	0	24	11	19	18	6	0	17	37	5	21	34	18	11	28	0	6	0	7	0	10	0	36	40	0	55	200	0	838	23	0	19	0	0	0	0	0	80	12	0	29	113	
k__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Gastranaerophilales;f__;g__	12	3	3	12	319	235	12	286	51	10	0	0	59	74	436	69	8	46	5	0	26	48	0	50	22	13	18	28	18	10	4	0	3	0	2	5	4	18	21	5	41	7	7	17	20	106	0	36	8	8	15	114	7	7	19	5	30	41	35	6	152	32	5	22	36	37	44	12	19	100	17	12	45	49	9	4	44	10	189	15	190	33	21	23	5	6	91	2670	30	103	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__A2	0	0	0	4	81	39	0	33	0	0	0	0	9	25	12	0	0	0	0	15	0	235	0	4	0	0	0	11	464	18	0	0	20	0	0	6	9	0	0	0	0	0	61	12	0	43	8	13	0	7	9	41	0	0	7	7	26	8	0	0	4	0	0	0	0	5	0	0	0	0	0	0	6	7	8	0	88	4	0	0	0	9	0	0	0	8	0	0	6	7	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas	0	0	6	43	804	451	29	459	75	14	29	55	77	103	394	190	0	143	47	8	50	707	76	226	66	63	82	60	107	34	0	12	8	19	0	0	22	26	25	0	63	28	38	65	0	381	31	83	8	22	24	375	10	18	49	0	70	67	50	6	176	25	0	30	69	45	184	16	25	74	28	0	27	12	89	0	130	0	204	42	200	30	2	8	0	13	28	813	10	15	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__[Eubacterium] siraeum group	9	0	8	18	156	208	15	125	24	11	16	28	13	21	0	25	0	29	10	0	15	0	8	0	6	15	0	6	27	0	0	23	16	0	8	11	0	12	8	0	24	9	0	0	0	16	126	12	0	0	13	13	24	0	13	0	13	23	12	0	43	14	6	6	62	14	76	0	4	38	39	0	9	0	16	0	10	0	36	6	44	19	10	0	11	33	18	0	7	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family XIII UCG-001	10	0	0	14	141	95	0	88	18	0	5	22	13	25	116	27	7	23	17	24	38	152	13	39	0	0	11	16	26	8	0	0	4	0	0	7	0	0	0	0	22	0	7	14	44	46	10	16	0	4	21	57	0	26	12	3	35	18	15	9	57	7	11	5	18	10	19	11	5	18	0	0	11	7	29	0	21	0	29	14	31	16	0	0	15	15	16	41	10	25	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-004	0	0	7	0	124	89	0	119	18	0	0	26	27	25	432	0	0	21	0	0	0	474	133	261	0	0	0	32	129	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	62	184	15	0	0	0	54	39	0	37	0	99	0	0	0	42	0	0	0	25	0	28	0	0	35	29	21	0	14	14	0	61	0	80	0	33	15	0	0	0	0	0	21	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575	0	0	0	5	144	55	0	60	7	0	0	21	8	56	82	8	0	4	26	15	0	98	16	0	0	0	0	13	101	14	18	30	0	9	0	20	0	0	11	0	30	0	6	0	5	17	28	11	0	0	7	25	0	0	12	0	0	10	24	0	49	0	0	0	0	0	13	0	12	11	0	0	35	10	24	0	62	0	0	8	8	43	0	0	12	0	21	1025	0	11	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae Sedis	26	16	0	66	841	647	29	463	50	20	68	121	86	251	749	170	52	98	49	77	86	686	120	292	45	64	91	109	156	96	0	25	22	0	0	14	11	39	24	10	82	22	112	35	82	200	206	18	0	19	51	525	28	102	109	27	204	38	102	43	398	64	23	17	74	51	113	18	47	148	45	14	58	26	126	15	135	25	213	36	202	76	45	23	30	43	193	232	38	125	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__	7	18	68	39	92	81	8	102	118	28	47	86	8	187	175	149	192	250	19	28	38	49	42	113	21	21	54	46	17	32	13	11	6	26	63	52	14	17	31	6	47	4	29	29	54	16	23	24	7	8	16	43	18	56	33	78	84	22	52	58	184	31	75	23	21	16	19	6	15	0	4	0	38	26	73	71	240	147	8	24	25	84	54	98	0	24	172	15	64	102	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-002	0	0	0	0	46	49	0	16	0	0	0	0	0	17	225	0	0	0	0	0	0	100	34	71	0	0	0	0	0	0	0	0	0	0	0	0	12	11	0	0	27	17	0	0	0	46	0	0	0	0	0	61	0	0	27	0	99	0	0	0	47	16	0	0	0	0	42	9	0	0	0	0	17	0	0	0	37	0	34	0	22	0	0	0	0	0	0	39	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	66	51	43	35	134	105	71	101	43	53	49	34	64	131	203	59	45	46	75	46	48	33	68	45	65	72	25	33	258	42	55	117	106	45	73	23	68	69	84	90	127	0	55	62	13	30	9579	79	76	52	43	40	1623	0	87	52	31	60	1711	0	110	104	44	49	1887	7	53	53	17	41	2475	60	75	123	114	25	191	44	71	50	17	42	58	69	33	30	120	48	37	37	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__	0	0	0	4	141	104	6	67	13	0	9	24	7	17	51	16	0	20	11	2	6	38	24	71	6	0	0	0	0	0	0	0	0	4	5	3	0	8	0	6	19	2	5	7	7	10	0	20	0	4	2	50	3	10	12	0	10	0	7	3	71	7	3	10	21	20	14	0	7	22	0	9	19	4	44	0	15	0	14	7	6	8	0	7	0	0	3	159	0	21	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UCG-009	0	0	0	0	62	13	0	16	5	5	0	19	8	13	79	11	0	11	9	0	0	65	4	0	0	0	7	10	18	0	0	0	0	0	0	0	2	5	0	0	0	0	0	8	8	0	0	7	0	0	0	27	0	0	7	0	7	7	0	0	0	0	0	0	0	0	9	0	0	16	0	0	4	0	18	0	0	0	40	0	35	9	0	0	0	0	0	72	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__Peptococcus	0	0	0	0	71	26	0	36	0	5	0	11	17	8	27	24	0	8	0	0	4	58	0	0	3	0	4	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	10	0	0	39	0	3	0	0	0	45	0	2	0	0	4	9	0	0	8	0	0	2	0	0	16	0	0	12	4	2	8	7	0	0	17	0	25	0	23	10	5	3	0	0	0	125	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea	0	0	0	0	0	0	0	0	0	0	0	0	47	68	51	0	0	0	0	0	13	0	0	0	41	52	116	67	171	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1232	0	0	0	5	0	186	0	0	16	0	0	251	0	0	0	0	0	216	0	0	0	0	0	298	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	25	28	35	80	261	70	0	0	0	10	0	0	147	647	595	66	0	35	49	20	22	34	40	49	217	146	147	108	42	0	6	226	177	315	222	356	465	1295	87	200	334	70	0	11	0	107	38	19	22	50	8	156	99	65	0	0	24	0	0	0	228	30	931	8	0	7	66	0	7	17	35	0	0	12	23	8	283	47	136	53	9	0	10	0	42	17	13	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus	0	0	0	0	73	54	8	77	20	7	0	0	30	0	260	21	0	13	0	0	8	28	6	0	0	5	0	8	0	0	0	0	4	0	0	0	0	0	0	0	9	0	0	12	0	189	0	22	0	0	3	153	0	0	0	0	0	8	14	0	222	27	0	13	6	7	44	6	21	137	0	16	0	0	0	0	21	0	13	0	0	55	28	23	3	11	0	38	3	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__;g__	2	0	3	8	71	106	0	30	11	0	0	6	0	0	45	15	0	16	4	0	8	39	13	68	0	0	0	0	17	0	0	0	0	0	3	6	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	4	2	0	7	0	10	5	0	2	15	3	2	0	5	10	15	0	0	20	0	0	5	3	21	3	0	0	34	0	36	14	2	0	0	0	0	156	5	11	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales Incertae Sedis;g__	0	4	24	32	103	73	3	17	22	12	31	32	9	49	77	44	56	107	19	32	53	44	35	125	31	23	35	45	27	64	3	15	0	11	12	19	8	12	14	11	16	7	53	46	72	49	12	32	15	16	39	38	37	68	0	24	26	31	69	62	25	5	12	42	52	36	19	27	25	0	0	2	7	10	6	10	38	18	5	11	0	9	9	20	13	22	36	12	36	57	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter	34	23	26	20	35	35	34	30	0	33	23	29	35	42	0	37	18	19	25	0	0	26	0	24	0	24	0	26	30	24	18	34	46	0	31	33	37	25	32	34	0	0	25	0	21	26	2874	29	36	0	32	28	434	18	40	26	32	35	520	17	42	38	26	17	539	0	30	20	0	22	636	16	35	0	0	26	39	23	31	23	19	28	34	0	0	12	59	15	34	23	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae R-7 group	0	0	0	7	134	56	5	56	19	0	7	0	0	6	69	0	0	0	4	0	0	39	19	31	4	2	9	9	3	0	0	0	0	0	0	4	10	8	10	0	10	0	0	0	0	0	0	0	0	0	0	5	0	0	12	0	13	0	11	0	161	10	0	3	8	0	4	0	0	0	10	4	23	32	41	0	47	0	7	5	0	11	0	0	0	0	3	48	4	4	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus	12	16	13	0	39	25	20	34	6	0	0	0	0	29	15	17	0	0	0	13	11	28	15	0	26	21	0	9	8	0	0	20	22	17	0	22	15	15	11	13	0	0	0	19	0	0	5907	10	6	0	0	0	875	0	18	12	16	14	952	9	45	18	0	10	914	0	28	14	0	7	1204	30	0	38	12	13	76	0	0	16	10	9	0	5	0	4	31	173	27	16	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] xylanophilum group	0	0	0	0	60	75	0	10	0	0	0	0	10	14	31	15	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	10	10	0	0	0	5	7	0	0	0	0	9	0	7	15	9	0	0	0	7	9	0	0	0	0	0	0	0	0	0	0	0	0	7	0	48	0	0	15	0	0	7	0	13	0	59	0	45	12	47	14	13	14	0	9	46	0	10	14	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria	0	0	5	0	13	36	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	7	10	0	0	0	0	0	0	0	5	0	0	0	0	4	0	0	48	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	17	0	19	27	0	63	10	0	0	0	0	0	0	0	7	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillospira	0	0	0	0	30	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus	0	0	0	3	103	33	0	55	12	0	10	12	13	56	194	10	4	37	0	4	0	44	21	28	0	8	18	29	33	32	0	0	6	4	0	0	5	13	12	6	21	11	12	12	42	65	78	14	0	0	11	27	17	9	7	22	16	32	71	36	31	14	4	10	39	16	9	0	7	18	23	0	13	25	12	0	21	11	61	106	129	0	0	11	3	0	42	0	21	50	
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__	5	0	0	14	187	213	6	216	41	15	34	73	29	25	314	13	0	9	0	0	6	0	8	9	10	8	7	8	41	19	0	0	0	0	5	0	0	0	0	0	4	0	7	12	11	14	5	8	0	7	8	0	0	0	19	3	12	19	10	3	36	4	0	13	9	9	10	0	8	11	0	0	49	45	100	5	70	0	16	6	30	5	0	7	0	13	15	159	27	141	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-003	0	0	0	0	12	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	10	5	0	5	11	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	
