OTU ID	SLCLTDTT028	SLCLTDTT029	SLCLTDTT030	SLCLTDTT034	SLCLTDTT035	SLCLTDTT036	SLCLTDTT040	SLCLTDTT041	SLCLTDTT042	SLCLTDTT046	SLCLTDTT047	SLCLTDTT048	SLCLTDTT052	SLCLTDTT053	SLCLTDTT054	SLCLTDTT058	SLCLTDTT059	SLCLTDTT060	SLCLTDTT064	SLCLTDTT065	SLCLTDTT066	SLCLTDTT070	SLCLTDTT071	SLCLTDTT072	SLCLTDTT076	SLCLTDTT077	SLCLTDTT078	SLCLTDTT082	SLCLTDTT083	SLCLTDTT084	SLCLTDTT004	SLCLTDTT005	SLCLTDTT006	SLCLTDTT010	SLCLTDTT011	SLCLTDTT012	SLCLTDTT016	SLCLTDTT017	SLCLTDTT018	SLCLTDTT022	SLCLTDTT023	SLCLTDTT024	SLCLTDTT094	SLCLTDTT095	SLCLTDTT096	SLCLTDTT100	SLCLTDTT101	SLCLTDTT102	SLCLTDTT106	SLCLTDTT107	SLCLTDTT108	SLCLTDTT112	SLCLTDTT113	SLCLTDTT114	SLCLTDTT118	SLCLTDTT119	SLCLTDTT120	SLCLTDTT124	SLCLTDTT125	SLCLTDTT126	SLCLTDTT130	SLCLTDTT131	SLCLTDTT132	SLCLTDTT136	SLCLTDTT137	SLCLTDTT138	SLCLTDTT142	SLCLTDTT143	SLCLTDTT144	SLCLTDTT148	SLCLTDTT149	SLCLTDTT150	SLCLTDTT154	SLCLTDTT155	SLCLTDTT156	SLCLTDTT160	SLCLTDTT161	SLCLTDTT162	SLCLTDTT166	SLCLTDTT167	SLCLTDTT168	SLCLTDTT172	SLCLTDTT173	SLCLTDTT174	SLCLTDTT178	SLCLTDTT179	SLCLTDTT180	SLCLTDTT184	SLCLTDTT185	SLCLTDTT186	taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__	534	151	345	1515	15178	10453	523	9723	1923	851	963	2773	1648	5012	10313	3242	599	2443	2099	1280	3045	11872	3311	7442	606	725	1917	2145	5698	2133	122	435	564	393	330	483	591	597	282	354	1974	937	1612	1111	1652	5504	937	1550	329	830	865	7132	484	840	3227	1036	8890	2755	2509	1376	3133	581	382	1503	2186	1929	2937	456	859	2954	538	324	1706	1099	4285	259	3051	401	4914	1362	4246	1685	942	784	732	632	1379	5513	740	1388	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	50	62	72	776	3296	1519	48	45	60	349	56	55	111	1335	179	2551	71	2064	58	553	182	306	2484	1663	141	150	168	102	69	34	53	6013	5959	8180	2089	5601	9491	43048	277	102	397	65	38	444	33	63	191	57	94	196	67	1049	446	186	103	143	539	50	73	28	13881	766	46621	75	117	33	1030	118	32	40	109	29	48	42	63	38	382	45	85	50	40	37	51	61	373	53	82	85	48	54	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-001	60	45	14	674	5698	2080	129	3097	530	34	48	210	558	219	892	42	45	138	0	38	188	3605	315	1037	380	355	486	398	168	86	33	60	62	33	16	0	16	35	53	74	279	145	1102	1166	263	9514	379	473	99	340	142	6591	294	262	49	0	109	104	112	11	750	52	41	69	85	64	2817	188	253	1122	85	99	132	66	98	35	100	50	3792	603	2175	1335	513	503	299	720	385	67	501	399	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum	372	340	1110	140	321	351	36	151	146	98	92	120	394	5634	5679	3496	4718	6336	703	199	474	1807	1259	2884	120	110	303	544	4638	133	89	149	192	131	127	149	80	93	110	102	151	55	53	54	27	87	312	160	45	54	53	39	71	55	1834	4867	3212	298	506	264	1526	360	524	249	291	167	183	51	120	110	127	59	127	163	194	190	912	430	572	349	450	532	260	412	38	221	258	489	3442	6953	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	14	51	115	2	0	0	9	8	8	11	24	56	1506	34078	32607	11	6	3	14	34	0	7	13	16	21399	14060	5692	4014	917	165	0	7	8	464	1137	228	10	5	0	411	3785	472	14	6	0	4	1085	8	0	0	0	8	165	0	11	0	5	0	166	3	17	10	16	8	164	3	8	0	0	9	288	0	32	225	263	14	4444	226	9	0	0	0	8	7	0	0	0	10	6	5	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__	109	319	377	0	1103	379	413	3330	6925	1933	4891	5488	400	1772	620	753	2008	1956	0	0	0	1320	3870	2506	271	406	1164	1425	671	404	458	550	692	2269	2142	1890	1020	1963	2005	223	424	182	6391	10213	1340	4311	5364	10283	1544	1349	895	3773	5027	3688	487	3606	2461	0	0	0	188	0	12	0	0	0	3357	3599	2185	640	2118	1780	3168	5218	3702	3395	2988	3207	815	779	307	1576	3696	3006	2866	9538	12851	98	2176	2432	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus	61	263	169	160	1385	836	337	2946	657	662	137	357	2148	111	197	33	81	38	73	0	19	123	81	77	34	39	61	95	12	10	683	371	1231	7572	4430	17764	3138	3082	1266	3163	4041	1179	14	72	0	15	598	163	34	37	13	34	65	0	8	25	24	0	75	13	16	0	13	0	97	0	21	18	24	0	205	0	659	368	722	53	564	35	42	56	0	0	50	33	11	27	56	0	16	0	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter	58	315	875	9	26	0	0	0	0	46	178	281	253	1483	1632	0	0	0	13	14	0	0	0	14	905	801	251	234	33	17	0	0	11	3289	3974	1838	0	20	0	1045	13401	2213	11	0	0	7	61	0	9	0	0	0	0	6	0	0	0	0	0	0	15	11	0	0	0	0	0	0	0	0	0	0	136	488	525	48	11845	475	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus	71	201	246	77	786	245	319	2113	4443	1329	3116	3550	337	1292	386	561	1345	1374	0	0	0	1158	3071	1903	241	304	892	1340	695	346	294	328	414	1591	1338	1197	634	1142	1247	138	278	129	3911	6179	929	2692	3533	6872	1042	897	670	2450	3397	2477	335	2222	1538	0	0	0	0	0	0	0	0	0	2025	2276	1434	431	1400	1081	2244	3541	2467	2261	2228	2115	539	529	234	927	2076	1783	1710	6420	7850	64	1422	1639	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium	161	148	237	765	5291	4469	185	2694	636	351	531	1472	834	13273	17361	934	918	2201	1843	2132	1861	4706	1513	4457	503	609	2341	1640	3614	2538	28	157	242	189	172	264	735	498	427	192	893	517	1475	1032	1914	3206	879	874	332	368	911	2828	1083	2118	1543	1615	3894	2253	3330	2520	1329	160	575	1412	1923	1551	1461	420	980	944	255	89	500	358	1027	313	1355	515	2273	8199	7390	838	1185	831	618	1014	4326	701	3795	7463	
